id,at,question,outcome,failureReason,topic,grain,metric,confidence,tokenRatio,playerCertainty,structuralPenalty,unresolvedPenalty,unsupportedTerms,resultCount,durationMs,reviewStatus,reviewCategory,reviewNotes
5283,2026-08-29T16:35:32.917Z,players with at least 200 games for Collingwood,unanswerable,coverage_unavailable,,player_career,,1,1,1,1,0,,,60,,,
5282,2026-08-29T16:35:12.532Z,most games for Geelong,unanswerable,coverage_unavailable,,player_game,games,1,1,1,1,0,,,28,,,
5275,2026-08-29T16:33:28.788Z,Gary Ablett most goals in a season,declined_ambiguous,ambiguous_player,,,,0.7,1,0.7,1,0,,,42,,,
5274,2026-08-29T16:33:14.916Z,Gary Ablett career games,declined_ambiguous,ambiguous_player,,,,0.7,1,0.7,1,0,,,47,,,
4857,2026-08-29T13:50:32.344Z,teams with at most 2 losses against St Kilda,no_results,empty_result,,team_match,,1,1,1,1,0,,0,138,,,
4848,2026-08-29T13:50:30.898Z,teams with at most 2 wins against St Kilda,no_results,empty_result,,team_match,,1,1,1,1,0,,0,162,,,
4830,2026-08-29T13:50:27.919Z,teams with at most 2 losses against North Melbourne,no_results,empty_result,,team_match,,1,1,1,1,0,,0,171,,,
4818,2026-08-29T13:50:26.436Z,teams with at most 2 wins against North Melbourne,no_results,empty_result,,team_match,,1,1,1,1,0,,0,143,,,
4790,2026-08-29T13:50:23.126Z,teams with at most 2 losses against Melbourne,no_results,empty_result,,team_match,,1,1,1,1,0,,0,140,,,
4778,2026-08-29T13:50:21.694Z,teams with at most 2 wins against Melbourne,no_results,empty_result,,team_match,,1,1,1,1,0,,0,149,,,
4751,2026-08-29T13:50:18.332Z,teams with at most 2 losses against Hawthorn,no_results,empty_result,,team_match,,1,1,1,1,0,,0,156,,,
4738,2026-08-29T13:50:16.915Z,teams with at most 2 wins against Hawthorn,no_results,empty_result,,team_match,,1,1,1,1,0,,0,143,,,
4712,2026-08-29T13:50:13.688Z,teams with at most 2 losses against Geelong,no_results,empty_result,,team_match,,1,1,1,1,0,,0,128,,,
4697,2026-08-29T13:50:11.806Z,teams with at most 2 wins against Geelong,no_results,empty_result,,team_match,,1,1,1,1,0,,0,140,,,
4671,2026-08-29T13:50:08.439Z,teams with at most 2 losses against Essendon,no_results,empty_result,,team_match,,1,1,1,1,0,,0,191,,,
4630,2026-08-29T13:50:03.551Z,teams with at most 2 losses against Collingwood,no_results,empty_result,,team_match,,1,1,1,1,0,,0,135,,,
4590,2026-08-29T13:49:58.571Z,teams with at most 2 losses against Carlton,no_results,empty_result,,team_match,,1,1,1,1,0,,0,136,,,
4551,2026-08-29T13:49:53.529Z,teams with at most 2 losses against Richmond,no_results,empty_result,,team_match,,1,1,1,1,0,,0,161,,,
