source_key,season,position,player,club,is_captain,is_vice_captain
22under22:2012:b:1,2012,B,Phil Davis,Greater Western Sydney,0,0
22under22:2012:b:2,2012,B,Daniel Talia,Adelaide,0,0
22under22:2012:b:3,2012,B,Alex Rance,Richmond,0,0
22under22:2012:hb:1,2012,HB,Dyson Heppell,Essendon,0,0
22under22:2012:hb:2,2012,HB,Jackson Trengove,Port Adelaide,0,0
22under22:2012:hb:3,2012,HB,Callan Ward,Greater Western Sydney,0,0
22under22:2012:c:1,2012,C,Steele Sidebottom,Collingwood,0,0
22under22:2012:c:2,2012,C,Patrick Dangerfield,Adelaide,1,0
22under22:2012:c:3,2012,C,Dan Hannebery,Sydney,0,0
22under22:2012:hf:1,2012,HF,David Zaharakis,Essendon,0,0
22under22:2012:hf:2,2012,HF,Jack Darling,West Coast,0,0
22under22:2012:hf:3,2012,HF,Dustin Martin,Richmond,0,0
22under22:2012:f:1,2012,F,Luke Breust,Hawthorn,0,0
22under22:2012:f:2,2012,F,Taylor Walker,Adelaide,0,0
22under22:2012:f:3,2012,F,Steven Motlop,Geelong,0,0
22under22:2012:r:1,2012,R,Nic Naitanui,West Coast,0,0
22under22:2012:r:2,2012,R,Trent Cotchin,Richmond,0,0
22under22:2012:r:3,2012,R,Dayne Beams,Collingwood,0,0
22under22:2012:ic:1,2012,I/C,Michael Hurley,Essendon,0,0
22under22:2012:ic:2,2012,I/C,Jack Redden,Brisbane Lions,0,0
22under22:2012:ic:3,2012,I/C,Rory Sloane,Adelaide,0,0
22under22:2012:ic:4,2012,I/C,Jeremy Howe,Melbourne,0,0
22under22:2013:b:1,2013,B,Brandon Ellis,Richmond,0,0
22under22:2013:b:2,2013,B,Rory Thompson,Gold Coast,0,0
22under22:2013:b:3,2013,B,Daniel Talia,Adelaide,0,0
22under22:2013:hb:1,2013,HB,Steele Sidebottom,Collingwood,0,0
22under22:2013:hb:2,2013,HB,Jake Carlisle,Essendon,0,0
22under22:2013:hb:3,2013,HB,Trent McKenzie,Gold Coast,0,0
22under22:2013:c:1,2013,C,Nat Fyfe,Fremantle,0,0
22under22:2013:c:2,2013,C,Dyson Heppell,Essendon,1,0
22under22:2013:c:3,2013,C,Dan Hannebery,Sydney,0,0
22under22:2013:hf:1,2013,HF,Dustin Martin,Richmond,0,0
22under22:2013:hf:2,2013,HF,Jack Darling,West Coast,0,0
22under22:2013:hf:3,2013,HF,Chad Wingard,Port Adelaide,0,0
22under22:2013:f:1,2013,F,Luke Breust,Hawthorn,0,0
22under22:2013:f:2,2013,F,Jeremy Cameron,Greater Western Sydney,0,0
22under22:2013:f:3,2013,F,Steven Motlop,Geelong,0,0
22under22:2013:r:1,2013,R,Tom Nicholls,Gold Coast,0,0
22under22:2013:r:2,2013,R,Jaeger O'Meara,Gold Coast,0,0
22under22:2013:r:3,2013,R,Tom Liberatore,Western Bulldogs,0,0
22under22:2013:ic:1,2013,I/C,Aaron Mullett,North Melbourne,0,0
22under22:2013:ic:2,2013,I/C,Dion Prestia,Gold Coast,0,0
22under22:2013:ic:3,2013,I/C,Jack Ziebell,North Melbourne,0,1
22under22:2013:ic:4,2013,I/C,Michael Walters,Fremantle,0,0
