source_key,source,season,club,player,player_id,link_status,candidate_count,position,is_captain,is_vice_captain,note,votes,source_citation
aa:1979:1,draftguru,1979,,Brian Peake,2063,resolved,1,,false,false,1 time All-Australian,,draftguru
aa:1979:10,draftguru,1979,North Melbourne,Graham Cornes,10988,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:11,draftguru,1979,Hawthorn,Kelvin Moore,1999,resolved,2,,false,false,1 time All-Australian,,draftguru
aa:1979:12,draftguru,1979,,Ken Hunter,1826,resolved,1,,false,false,1 time All-Australian,,draftguru
aa:1979:13,draftguru,1979,,Kym Hodgeman,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1979:14,draftguru,1979,Richmond,Michael Roach,2114,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:15,draftguru,1979,Hawthorn,Michael Tuck,1319,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:16,draftguru,1979,Geelong,Michael Turner,2230,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:17,draftguru,1979,,Peter Carey,,unmatched,0,,false,false,1 time All-Australian,,draftguru
aa:1979:18,draftguru,1979,,Peter Jonas,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1979:19,draftguru,1979,Collingwood,Peter Moore,2000,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:2,draftguru,1979,Carlton,Bruce Doull,1680,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:20,draftguru,1979,,Tony Buhagiar,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1979:3,draftguru,1979,Richmond,Bruce Monteath,1997,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:4,draftguru,1979,North Melbourne,Darryl Sutton,2200,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:5,draftguru,1979,Richmond,David Cloke,1286,resolved,1,,false,false,1 time All-Australian,,draftguru
aa:1979:6,draftguru,1979,,Des James,,unmatched,0,,false,false,1 time All-Australian,,draftguru
aa:1979:7,draftguru,1979,Fitzroy,Garry Wilson,2274,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:8,draftguru,1979,Geelong,Gary Malarkey,1936,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1979:9,draftguru,1979,,Geoff Morris,,unmatched,0,,false,false,1 time All-Australian,,draftguru
aa:1980:21,draftguru,1980,,Brian Peake,2063,resolved,1,,false,false,2 time All-Australian,,draftguru
aa:1980:22,draftguru,1980,St Kilda,Bruce Duperouzel,1691,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:23,draftguru,1980,North Melbourne,Darryl Sutton,2200,unique,1,,false,false,2 time All-Australian,,draftguru
aa:1980:24,draftguru,1980,Fitzroy,Garry Wilson,2274,unique,1,,false,false,2 time All-Australian,,draftguru
aa:1980:25,draftguru,1980,Richmond,Geoff Raines,2092,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:26,draftguru,1980,Carlton,Geoff Southby,2183,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:27,draftguru,1980,,Graham Cornes,10988,unique,1,,false,false,2 time All-Australian,,draftguru
aa:1980:28,draftguru,1980,,Greg Phillips,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1980:29,draftguru,1980,Geelong,Ian Nankervis,2023,resolved,2,,false,false,1 time All-Australian,,draftguru
aa:1980:30,draftguru,1980,Richmond,Jim Jess,1845,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:31,draftguru,1980,South Melbourne,John Roberts,2122,resolved,2,,false,false,1 time All-Australian,,draftguru
aa:1980:32,draftguru,1980,,Keith Kuhlmann,,unmatched,0,,false,false,1 time All-Australian,,draftguru
aa:1980:33,draftguru,1980,,Ken Hunter,1826,resolved,1,,false,false,2 time All-Australian,,draftguru
aa:1980:34,draftguru,1980,Richmond,Mark Lee,1363,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:35,draftguru,1980,,Mark Williams,2281,resolved,4,,false,false,1 time All-Australian,,draftguru
aa:1980:36,draftguru,1980,,Peter Carey,,unmatched,0,,false,false,2 time All-Australian,,draftguru
aa:1980:37,draftguru,1980,,Rick Davies,1658,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:38,draftguru,1980,Carlton,Robbert Klomp,1881,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:39,draftguru,1980,Melbourne,Robert Flower,1725,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1980:40,draftguru,1980,,Ron Stubbs,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1983:41,draftguru,1983,,Craig Bradley,151,resolved,1,,false,false,1 time All-Australian,,draftguru
aa:1983:42,draftguru,1983,,Craig Williams,,implausible,1,,false,false,1 time All-Australian,,draftguru
aa:1983:43,draftguru,1983,Hawthorn,Gary Buckenara,1387,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1983:44,draftguru,1983,North Melbourne,Keith Greig,1765,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1983:45,draftguru,1983,,Kevin Taylor,2208,unique,1,,false,false,1 time All-Australian,,draftguru
aa:1983:46,draftguru,1983,Richmond,Mark Lee,1363,unique,1,,false,false,2 time All-Australian,,draftguru
