slug,name,category,club,first_season,last_season,source_citation
bf-adelaide,Malcolm Blight Medal,club_best_and_fairest,Adelaide,1991,2025,draftguru
bf-brisbane,Merrett-Murray Medal,club_best_and_fairest,Brisbane,1987,2025,draftguru
bf-carlton,John Nicholls Medal,club_best_and_fairest,Carlton,1980,2025,draftguru
bf-collingwood,Copeland Trophy,club_best_and_fairest,Collingwood,1980,2025,draftguru
bf-essendon,W.S. Crichton Medal,club_best_and_fairest,Essendon,1980,2025,draftguru
bf-fitzroy,Mitchell Medal,club_best_and_fairest,Fitzroy,1980,1996,draftguru
bf-fremantle,Doig Medal,club_best_and_fairest,Fremantle,1995,2025,draftguru
bf-geelong,Carji Greeves Medal,club_best_and_fairest,Geelong,1980,2025,draftguru
bf-gold-coast,Gold Coast Suns Club Champion,club_best_and_fairest,Gold Coast,2011,2025,draftguru
bf-greater-western-sydney,Kevin Sheedy Medal,club_best_and_fairest,GWS,2012,2025,draftguru
bf-hawthorn,Peter Crimmins Medal,club_best_and_fairest,Hawthorn,1980,2025,draftguru
bf-melbourne,Keith 'Bluey' Truscott Medal,club_best_and_fairest,Melbourne,1980,2025,draftguru
bf-north-melbourne,Syd Barker Medal,club_best_and_fairest,North Melbourne,1980,2025,draftguru
bf-port-adelaide,John Cahill Medal,club_best_and_fairest,Port Adelaide,1997,2025,draftguru
bf-richmond,Jack Dyer Medal,club_best_and_fairest,Richmond,1980,2025,draftguru
bf-st-kilda,Trevor Barker Award,club_best_and_fairest,St Kilda,1980,2025,draftguru
bf-sydney,Bob Skilton Medal,club_best_and_fairest,Sydney,1980,2025,draftguru
bf-west-coast,John Worsfold Medal,club_best_and_fairest,West Coast,1987,2025,draftguru
bf-western-bulldogs,Charles Sutton Medal,club_best_and_fairest,Western Bulldogs,1980,2025,draftguru
