source_key,award_slug,season,club,player,player_id,link_status,candidate_count,votes,note,source_citation
bf-adelaide:1991:1017,bf-adelaide,1991,Adelaide,Mark Mickan,1308,resolved,1,,Recruited from Renmark / West Adelaide,draftguru
bf-adelaide:1992:1018,bf-adelaide,1992,Adelaide,Chris McDermott,17,resolved,1,,Recruited from Brighton HS (SA) / Glenelg,draftguru
bf-adelaide:1993:1019,bf-adelaide,1993,Adelaide,Tony McGuinness,18,resolved,1,,Recruited from Brighton HS (SA) / Glenelg,draftguru
bf-adelaide:1994:1020,bf-adelaide,1994,Adelaide,Shaun Rehn,16,resolved,1,,Recruited from Arno Bay / Immanuel College / West Adelaide,draftguru
bf-adelaide:1995:1021,bf-adelaide,1995,Adelaide,Matthew Connell,19,resolved,1,,Recruited from Subiaco,draftguru
bf-adelaide:1996:1022,bf-adelaide,1996,Adelaide,Matthew Liptak,29,resolved,1,,Recruited from Sacred Heart College / Glenelg,draftguru
bf-adelaide:1997:1023,bf-adelaide,1997,Adelaide,Andrew McLeod,30,resolved,1,,Recruited from Darwin FC / Port Adelaide (SANFL),draftguru
bf-adelaide:1998:1024,bf-adelaide,1998,Adelaide,Mark Ricciuto,4,resolved,1,,Recruited from Waikerie / West Adelaide,draftguru
bf-adelaide:1999:1025,bf-adelaide,1999,Adelaide,Ben Hart,22,resolved,1,,Recruited from Rostrevor College / North Adelaide,draftguru
bf-adelaide:2000:1026,bf-adelaide,2000,Adelaide,Simon Goodwin,51,resolved,1,,Recruited from Unley HS / South Adelaide,draftguru
bf-adelaide:2001:1027,bf-adelaide,2001,Adelaide,Andrew McLeod,30,resolved,1,,Recruited from Darwin FC / Port Adelaide (SANFL),draftguru
bf-adelaide:2002:1028,bf-adelaide,2002,Adelaide,Ben Hart,22,resolved,1,,Recruited from Rostrevor College / North Adelaide,draftguru
bf-adelaide:2003:1029,bf-adelaide,2003,Adelaide,Mark Ricciuto,4,resolved,1,,Recruited from Waikerie / West Adelaide,draftguru
bf-adelaide:2003:1030,bf-adelaide,2003,Adelaide,Tyson Edwards,34,resolved,1,,Recruited from West Adelaide,draftguru
bf-adelaide:2004:1031,bf-adelaide,2004,Adelaide,Mark Ricciuto,4,resolved,1,,Recruited from Waikerie / West Adelaide,draftguru
bf-adelaide:2005:1032,bf-adelaide,2005,Adelaide,Simon Goodwin,51,resolved,1,,Recruited from Unley HS / South Adelaide,draftguru
bf-adelaide:2006:1033,bf-adelaide,2006,Adelaide,Simon Goodwin,51,resolved,1,,Recruited from Unley HS / South Adelaide,draftguru
bf-adelaide:2007:1034,bf-adelaide,2007,Adelaide,Andrew McLeod,30,resolved,1,,Recruited from Darwin FC / Port Adelaide (SANFL),draftguru
bf-adelaide:2008:1035,bf-adelaide,2008,Adelaide,Nathan Bock,3968,resolved,1,,Recruited from Woodville-West Torrens,draftguru
bf-adelaide:2009:1036,bf-adelaide,2009,Adelaide,Bernie Vince,4151,resolved,1,,Recruited from CMS Crows / Prince Alfred College / Border Districts / Woodville-West Torrens,draftguru
bf-adelaide:2010:1037,bf-adelaide,2010,Adelaide,Richard Douglas,2381,resolved,1,,Recruited from Broadford / Assumption College / Calder U18,draftguru
bf-adelaide:2011:1038,bf-adelaide,2011,Adelaide,Scott Thompson,755,resolved,2,,Recruited from North Haven / St Michael's College (SA) / Port Adelaide (SANFL),draftguru
bf-adelaide:2012:1039,bf-adelaide,2012,Adelaide,Scott Thompson,755,resolved,2,,Recruited from North Haven / St Michael's College (SA) / Port Adelaide (SANFL),draftguru
bf-adelaide:2013:1040,bf-adelaide,2013,Adelaide,Rory Sloane,11792,resolved,1,,Recruited from Upwey-Tecoma / Eastern U18,draftguru
bf-adelaide:2014:1041,bf-adelaide,2014,Adelaide,Daniel Talia,11989,resolved,1,,Recruited from Greenvale / Assumption College / Calder U18,draftguru
bf-adelaide:2015:1042,bf-adelaide,2015,Adelaide,Patrick Dangerfield,11700,resolved,1,,Recruited from Anglesea / Geelong U18,draftguru
bf-adelaide:2016:1043,bf-adelaide,2016,Adelaide,Rory Sloane,11792,resolved,1,,Recruited from Upwey-Tecoma / Eastern U18,draftguru
bf-adelaide:2017:1044,bf-adelaide,2017,Adelaide,Matt Crouch,12258,resolved,1,,Recruited from Beaufort / St Patrick's College / North Ballarat U18 / North Ballarat,draftguru
bf-adelaide:2018:1045,bf-adelaide,2018,Adelaide,Rory Laird,12165,resolved,1,,Recruited from Kenilworth / Scotch College (SA) / West Adelaide,draftguru
bf-adelaide:2019:1046,bf-adelaide,2019,Adelaide,Brad Crouch,12156,resolved,1,,Recruited from Beaufort / St Patrick's College / North Ballarat U18,draftguru
bf-adelaide:2020:1047,bf-adelaide,2020,Adelaide,Reilly O'Brien,12473,resolved,0,,Recruited from Moonee Valley / Calder U18 / Coburg,draftguru
bf-adelaide:2021:1048,bf-adelaide,2021,Adelaide,Rory Laird,12165,resolved,1,,Recruited from Kenilworth / Scotch College (SA) / West Adelaide,draftguru
bf-adelaide:2022:1049,bf-adelaide,2022,Adelaide,Rory Laird,12165,resolved,1,,Recruited from Kenilworth / Scotch College (SA) / West Adelaide,draftguru
bf-adelaide:2023:1050,bf-adelaide,2023,Adelaide,Jordan Dawson,12516,resolved,1,,Recruited from Robe / Scotch College (SA) / Sturt,draftguru
bf-adelaide:2024:1051,bf-adelaide,2024,Adelaide,Ben Keays,12434,resolved,1,,Recruited from St Joseph's College (Terrace) / Morningside / Queensland U18 / Redland / Brisbane (NEAFL),draftguru
bf-adelaide:2024:1052,bf-adelaide,2024,Adelaide,Jordan Dawson,12516,resolved,1,,Recruited from Robe / Scotch College (SA) / Sturt,draftguru
bf-adelaide:2025:1053,bf-adelaide,2025,Adelaide,Jordan Dawson,12516,resolved,1,,Recruited from Robe / Scotch College (SA) / Sturt,draftguru
bf-brisbane:1987:1054,bf-brisbane,1987,Brisbane,Phil Walsh,2251,unique,1,,Recruited from Monivae College / Hamilton FC,draftguru
bf-brisbane:1988:1055,bf-brisbane,1988,Brisbane,Mark Withers,1342,unique,1,,,draftguru
bf-brisbane:1989:1056,bf-brisbane,1989,Brisbane,John Gastev,1180,resolved,1,,,draftguru
bf-brisbane:1990:1057,bf-brisbane,1990,Brisbane,David Bain,1172,resolved,1,,Recruited from East Perth,draftguru
bf-brisbane:1990:1058,bf-brisbane,1990,Brisbane,Martin Leslie,124,resolved,1,,Recruited from Ethelton / Port Adelaide (SANFL),draftguru
bf-brisbane:1991:1059,bf-brisbane,1991,Brisbane,Michael McLean,99,resolved,1,,Recruited from Nightcliff,draftguru
bf-brisbane:1992:1060,bf-brisbane,1992,Brisbane,John Gastev,1180,resolved,1,,,draftguru
bf-brisbane:1993:1061,bf-brisbane,1993,Brisbane,Michael McLean,99,resolved,1,,Recruited from Nightcliff,draftguru
bf-brisbane:1994:1062,bf-brisbane,1994,Brisbane,Craig Lambert,123,resolved,1,,Recruited from North Dandenong,draftguru
bf-brisbane:1995:1063,bf-brisbane,1995,Brisbane,Michael Voss,102,unique,1,,Recruited from Morningside,draftguru
bf-brisbane:1996:1064,bf-brisbane,1996,Brisbane,Michael Voss,102,unique,1,,Recruited from Morningside,draftguru
bf-brisbane:1997:1065,bf-brisbane,1997,Brisbane,Matthew Clarke,78,resolved,1,,Recruited from West Gambier / Richmond U19s,draftguru
bf-brisbane:1998:1066,bf-brisbane,1998,Brisbane,Chris Scott,97,resolved,1,,Recruited from St Kevin's College / East Camberwell / Eastern U18,draftguru
bf-brisbane:1999:1067,bf-brisbane,1999,Brisbane,Jason Akermanis,119,resolved,1,,Recruited from Mayne,draftguru
bf-brisbane:1999:1068,bf-brisbane,1999,Brisbane,Justin Leppitsch,98,resolved,1,,Recruited from Springvale / Dandenong U18,draftguru
bf-brisbane:2000:1069,bf-brisbane,2000,Brisbane,Michael Voss,102,unique,1,,Recruited from Morningside,draftguru
bf-brisbane:2001:1070,bf-brisbane,2001,Brisbane,Michael Voss,102,unique,1,,Recruited from Morningside,draftguru
bf-brisbane:2001:1071,bf-brisbane,2001,Brisbane,Simon Black,1083,resolved,1,,Recruited from East Fremantle,draftguru
bf-brisbane:2002:1072,bf-brisbane,2002,Brisbane,Simon Black,1083,resolved,1,,Recruited from East Fremantle,draftguru
bf-brisbane:2003:1073,bf-brisbane,2003,Brisbane,Michael Voss,102,unique,1,,Recruited from Morningside,draftguru
bf-brisbane:2004:1074,bf-brisbane,2004,Brisbane,Nigel Lappin,100,resolved,1,,Recruited from Chiltern,draftguru
bf-brisbane:2005:1075,bf-brisbane,2005,Brisbane,Jason Akermanis,119,resolved,1,,Recruited from Mayne,draftguru
bf-brisbane:2006:1076,bf-brisbane,2006,Brisbane,Simon Black,1083,resolved,1,,Recruited from East Fremantle,draftguru
bf-brisbane:2007:1077,bf-brisbane,2007,Brisbane,Jonathan Brown,1092,resolved,1,,Recruited from Emmanuel Hawks JFC / Emmanuel College (Warrnambool) / South Warrnambool / Geelong U18,draftguru
bf-brisbane:2008:1078,bf-brisbane,2008,Brisbane,Jonathan Brown,1092,resolved,1,,Recruited from Emmanuel Hawks JFC / Emmanuel College (Warrnambool) / South Warrnambool / Geelong U18,draftguru
bf-brisbane:2009:1079,bf-brisbane,2009,Brisbane,Jonathan Brown,1092,resolved,1,,Recruited from Emmanuel Hawks JFC / Emmanuel College (Warrnambool) / South Warrnambool / Geelong U18,draftguru
bf-brisbane:2010:1080,bf-brisbane,2010,Brisbane,Michael Rischitelli,4047,resolved,1,,Recruited from Keilor / Western U18,draftguru
bf-brisbane:2011:1081,bf-brisbane,2011,Brisbane,Tom Rockliff,11787,resolved,1,,Recruited from Benalla / Murray U18,draftguru
bf-brisbane:2012:1082,bf-brisbane,2012,Brisbane,Joel Patfull,4179,resolved,1,,Recruited from Payneham Norwood Union / Norwood Morialta HS / Norwood,draftguru
bf-brisbane:2013:1083,bf-brisbane,2013,Brisbane,Joel Patfull,4179,resolved,1,,Recruited from Payneham Norwood Union / Norwood Morialta HS / Norwood,draftguru
bf-brisbane:2014:1084,bf-brisbane,2014,Brisbane,Tom Rockliff,11787,resolved,1,,Recruited from Benalla / Murray U18,draftguru
bf-brisbane:2015:1085,bf-brisbane,2015,Brisbane,Dayne Beams,11728,resolved,1,,Recruited from Carrara / Southport,draftguru
bf-brisbane:2015:1086,bf-brisbane,2015,Brisbane,Dayne Zorko,12076,resolved,1,,Recruited from Surfers Paradise / Broadbeach,draftguru
bf-brisbane:2015:1087,bf-brisbane,2015,Brisbane,Mitch Robinson,11710,resolved,1,,Recruited from Lauderdale / Tasmania U18 / Tasmania (VFL),draftguru
bf-brisbane:2015:1088,bf-brisbane,2015,Brisbane,Stefan Martin,11684,resolved,1,,Recruited from Haileybury College / Old Haileybury / Sandringham,draftguru
bf-brisbane:2016:1089,bf-brisbane,2016,Brisbane,Dayne Zorko,12076,resolved,1,,Recruited from Surfers Paradise / Broadbeach,draftguru
bf-brisbane:2017:1090,bf-brisbane,2017,Brisbane,Dayne Zorko,12076,resolved,1,,Recruited from Surfers Paradise / Broadbeach,draftguru
bf-brisbane:2018:1091,bf-brisbane,2018,Brisbane,Dayne Zorko,12076,resolved,1,,Recruited from Surfers Paradise / Broadbeach,draftguru
bf-brisbane:2019:1092,bf-brisbane,2019,Brisbane,Lachie Neale,12055,resolved,1,,Recruited from Kybybolite / St Peter's College (SA) / Glenelg,draftguru
bf-brisbane:2020:1093,bf-brisbane,2020,Brisbane,Lachie Neale,12055,resolved,1,,Recruited from Kybybolite / St Peter's College (SA) / Glenelg,draftguru
bf-brisbane:2021:1094,bf-brisbane,2021,Brisbane,Dayne Zorko,12076,resolved,1,,Recruited from Surfers Paradise / Broadbeach,draftguru
