source_key,team_name,player,position,role,club,sort_order,player_id,link_status,note,source_citation
honourteam:afl-vfl-team-of-the-century:1,AFL/VFL Team of the Century,Bernie Smith,Back,,"Geelong, West Adelaide",0,2175,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:2,AFL/VFL Team of the Century,John Nicholls,Back,,Carlton,0,3422,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:3,AFL/VFL Team of the Century,Stephen Silvagni,Back,,Carlton,0,136,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:4,AFL/VFL Team of the Century,Bruce Doull,Half back,,Carlton,1,1680,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:5,AFL/VFL Team of the Century,Kevin Murray,Half back,,"Fitzroy, East Perth",1,2018,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:6,AFL/VFL Team of the Century,Ted Whitten,Half back,Captain,Footscray,1,2268,resolved,"Ted Whitten (1951-1970, 321g); Ted Whitten (1974-1982, 144g)",wikipedia
honourteam:afl-vfl-team-of-the-century:7,AFL/VFL Team of the Century,Francis Bourke,Centre,,Richmond,2,1539,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:8,AFL/VFL Team of the Century,Ian Stewart,Centre,,"Hobart, St Kilda, Richmond",2,2193,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:9,AFL/VFL Team of the Century,Keith Greig,Centre,,North Melbourne,2,1765,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:10,AFL/VFL Team of the Century,Alex Jesaulenko,Half forward,,"Carlton, St Kilda",3,1844,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:11,AFL/VFL Team of the Century,Dick Reynolds,Half forward,,Essendon,3,3578,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:12,AFL/VFL Team of the Century,Royce Hart,Half forward,,Richmond,3,2367,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:13,AFL/VFL Team of the Century,Haydn Bunton Sr.,Forward,,"Fitzroy, Subiaco, Port Adelaide",4,1466,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:14,AFL/VFL Team of the Century,John Coleman,Forward,,Essendon,4,1614,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:15,AFL/VFL Team of the Century,Leigh Matthews,Forward,,Hawthorn,4,1949,unique,,wikipedia
honourteam:afl-vfl-team-of-the-century:16,AFL/VFL Team of the Century,Bob Skilton,Follower,,South Melbourne,5,3702,unique,,wikipedia
