slug,name,category,competition,first_season,last_season
aflca-best-young-player,AFLCA Best Young Player,award,AFLCA,2003,2025
aflca-champion,AFLCA Champion,award,AFLCA,2003,2025
aflpa-best-first-year-player,AFLPA Best First-Year Player,award,ALFPA,1998,2025
aflpa-mvp,Leigh Matthews Trophy,award,AFLPA,1982,2025
all-australian-squad,All-Australian 40-Man Squad,award,AFL,2007,2025
anzac-medal,Anzac Medal,award,AFL,1995,2025
brett-kirk-medal,Brett Kirk Medal,award,AFL,2012,2025
brownlow-medal,Brownlow Medal,award,AFL,1980,2025
gardiner-medal,Gardiner Medal,award,VFL Reserves,1980,1999
gary-ayres-award,Gary Ayres Award,award,AFLCA,2016,2025
geoff-christian-medal,Geoff Christian Medal,award,WA ABC Radio,1999,2025
glendinning-allan-medal,Glendinning–Allan Medal,award,AFL,1995,2025
goal-of-the-year,Goal of the Year,award,AFL,1976,2025
hunter-harrison-medal,Hunter Harrison Medal,award,U18 Championships,1992,2025
larke-medal,Larke Medal,award,U18 Championships,1976,2025
liston-trophy,J.J. Liston Trophy,award,VFL,1980,2025
magarey-medal,Magarey Medal,award,SANFL,1980,2025
marcus-ashcroft-medal,Marcus Ashcroft Medal,award,AFL,2011,2025
mark-of-the-year,Mark of the Year,award,AFL,1970,2025
morrish-medal,Morrish Medal,award,VFL Under 19s,1980,2025
national-draft-pick-1,National Draft Pick #1,draft_pick,,1981,2025
norm-smith-medal,Norm Smith Medal,award,AFL,1979,2025
sandover-medal,Sandover Medal,award,WAFL,1980,2025
showdown-medal,Showdown Medal,award,AFL,1997,2025
