season,afltables_profile_url,votes,vote_rank,eligible_rank,is_ineligible,is_winner,games,three_vote_games,two_vote_games,one_vote_games,polling_games,link_status_value,bootstrap_player_id,display_name,legacy_source_record_id
1924,players/A/Arthur_Batchelor.html,1,17,17,f,f,12,1,,,1,unique,1514,Arthur Batchelor,1924:Arthur_Batchelor
1924,players/A/Arthur_Dickens.html,1,17,17,f,f,10,1,,,1,unique,2779,Arthur Dickens,1924:Arthur_Dickens
1924,players/A/Arthur_Hando.html,1,17,17,f,f,15,1,,,1,unique,2992,Arthur Hando,1924:Arthur_Hando
1924,players/A/Arthur_Pink.html,3,5,5,f,f,16,3,,,3,unique,3534,Arthur Pink,1924:Arthur_Pink
1924,players/B/Bert_Chadwick.html,6,2,2,f,f,16,6,,,6,unique,2666,Bert Chadwick,1924:Bert_Chadwick
1924,players/B/Bob_McCaskill.html,1,17,17,f,f,14,1,,,1,unique,3286,Bob McCaskill,1924:Bob_McCaskill
1924,players/C/Charles_Tyson.html,1,17,17,f,f,14,1,,,1,unique,3817,Charles Tyson,1924:Charles_Tyson
1924,players/C/Cliff_Rankin.html,1,17,17,f,f,15,1,,,1,unique,3561,Cliff Rankin,1924:Cliff_Rankin
1924,players/C/Colin_Watson.html,2,9,9,f,f,15,2,,,2,unique,3852,Colin Watson,1924:Colin_Watson
1924,players/C/Cyril_Gambetta.html,1,17,17,f,f,15,1,,,1,unique,2912,Cyril Gambetta,1924:Cyril_Gambetta
1924,players/D/Derek_Mollison.html,1,17,17,f,f,14,1,,,1,unique,3371,Derek Mollison,1924:Derek_Mollison
1924,players/D/Doug_Hayes.html,4,4,4,f,f,15,4,,,4,unique,3021,Doug Hayes,1924:Doug_Hayes
1924,players/E/Edward_Greeves.html,7,1,1,f,t,14,7,,,7,unique,2959,Edward Greeves,1924:Edward_Greeves
1924,players/G/George_Rudolph.html,1,17,17,f,f,16,1,,,1,unique,3638,George Rudolph,1924:George_Rudolph
1924,players/G/George_Shorten.html,6,2,2,f,f,15,6,,,6,unique,3693,George Shorten,1924:George_Shorten
1924,players/G/Gordon_Coventry.html,1,17,17,f,f,14,1,,,1,unique,1628,Gordon Coventry,1924:Gordon_Coventry
1924,players/J/Jack_Moriarty.html,3,5,5,f,f,16,3,,,3,unique,3382,Jack Moriarty,1924:Jack_Moriarty
1924,players/J/Jack_OConnell.html,2,9,9,f,f,15,2,,,2,unique,3443,Jack OConnell,1924:Jack_OConnell
1924,players/J/Jim_Atkinson.html,1,17,17,f,f,16,1,,,1,unique,2501,Jim Atkinson,1924:Jim_Atkinson
1924,players/J/Jim_Spain.html,2,9,9,f,f,15,2,,,2,unique,3724,Jim Spain,1924:Jim_Spain
1924,players/J/Jimmy_Milne.html,1,17,17,f,f,13,1,,,1,unique,3352,Jimmy Milne,1924:Jimmy_Milne
1924,players/J/Joe_Poulter.html,1,17,17,f,f,15,1,,,1,unique,3545,Joe Poulter,1924:Joe_Poulter
1924,players/J/Justin_McCarthy.html,1,17,17,f,f,9,1,,,1,unique,3285,Justin McCarthy,1924:Justin_McCarthy
1924,players/K/Keith_Millar.html,1,17,17,f,f,5,1,,,1,unique,3351,Keith Millar,1924:Keith_Millar
1924,players/L/Len_Wigraft.html,1,17,17,f,f,16,1,,,1,unique,3877,Len Wigraft,1924:Len_Wigraft
1924,players/L/Les_Bryant.html,2,9,9,f,f,16,2,,,2,unique,2607,Les Bryant,1924:Les_Bryant
1924,players/M/Mark_Tandy.html,3,5,5,f,f,15,3,,,3,unique,3767,Mark Tandy,1924:Mark_Tandy
1924,players/M/Maurie_Beasy.html,2,9,9,f,f,13,2,,,2,unique,2533,Maurie Beasy,1924:Maurie_Beasy
1924,players/N/Norm_Beckton.html,2,9,9,f,f,16,2,,,2,unique,2539,Norm Beckton,1924:Norm_Beckton
1924,players/P/Paddy_OBrien.html,3,5,5,f,f,15,3,,,3,unique,3437,Paddy OBrien,1924:Paddy_OBrien
1924,players/R/Reg_Baker.html,1,17,17,f,f,16,1,,,1,unique,2509,Reg Baker,1924:Reg_Baker
1924,players/R/Roy_Cazaly.html,2,9,9,f,f,16,2,,,2,unique,2665,Roy Cazaly,1924:Roy_Cazaly
1924,players/S/Stan_Trebilco.html,1,17,17,f,f,15,1,,,1,unique,3799,Stan Trebilco,1924:Stan_Trebilco
1924,players/S/Syd_Coventry0.html,1,17,17,f,f,14,1,,,1,resolved,1629,Syd Coventry,1924:Syd_Coventry0
1924,players/T/Tom_Fitzmaurice.html,1,17,17,f,f,15,1,,,1,unique,2881,Tom Fitzmaurice,1924:Tom_Fitzmaurice
1924,players/V/Vic_Thorp.html,1,17,17,f,f,15,1,,,1,unique,3777,Vic Thorp,1924:Vic_Thorp
1924,players/W/Wels_Eicke.html,2,9,9,f,f,11,2,,,2,unique,2835,Wels Eicke,1924:Wels_Eicke
1925,players/A/Albert_Outen.html,2,10,10,f,f,11,2,,,2,unique,3489,Albert Outen,1925:Albert_Outen
1925,players/A/Allan_Geddes.html,1,22,22,f,f,17,1,,,1,unique,1749,Allan Geddes,1925:Allan_Geddes
1925,players/A/Allan_Hopkins.html,1,22,22,f,f,16,1,,,1,unique,1467,Allan Hopkins,1925:Allan_Hopkins
1925,players/B/Basil_McCormack.html,1,22,22,f,f,17,1,,,1,unique,3288,Basil McCormack,1925:Basil_McCormack
1925,players/B/Bert_Chadwick.html,4,3,3,f,f,16,4,,,4,unique,2666,Bert Chadwick,1925:Bert_Chadwick
1925,players/B/Bill_Russ.html,1,22,22,f,f,12,1,,,1,unique,3640,Bill Russ,1925:Bill_Russ
1925,players/C/Charles_McDonald.html,1,22,22,f,f,16,1,,,1,unique,3297,Charles McDonald,1925:Charles_McDonald
1925,players/C/Charlie_Lilley.html,1,22,22,f,f,4,1,,,1,unique,3211,Charlie Lilley,1925:Charlie_Lilley
1925,players/C/Charlie_May.html,1,22,22,f,f,16,1,,,1,unique,3278,Charlie May,1925:Charlie_May
1925,players/C/Charlie_Milburn.html,2,10,10,f,f,14,2,,,2,unique,3353,Charlie Milburn,1925:Charlie_Milburn
1925,players/C/Clem_Splatt.html,3,5,5,f,f,15,3,,,3,unique,3729,Clem Splatt,1925:Clem_Splatt
1925,players/C/Col_Deane.html,1,22,22,f,f,14,1,,,1,unique,2763,Col Deane,1925:Col_Deane
1925,players/C/Col_Laidlaw.html,2,10,10,f,f,17,2,,,2,unique,3186,Col Laidlaw,1925:Col_Laidlaw
1925,players/C/Colin_Watson.html,9,1,1,f,t,15,9,,,9,unique,3852,Colin Watson,1925:Colin_Watson
1925,players/C/Cyril_Gambetta.html,2,10,10,f,f,15,2,,,2,unique,2912,Cyril Gambetta,1925:Cyril_Gambetta
1925,players/D/Dave_Ferguson0.html,1,22,22,f,f,17,1,,,1,resolved,1716,Dave Ferguson,1925:Dave_Ferguson0
1925,players/D/Dave_Walsh.html,2,10,10,f,f,17,2,,,2,unique,3832,Dave Walsh,1925:Dave_Walsh
1925,players/D/Dick_Taylor.html,3,5,5,f,f,17,3,,,3,unique,3770,Dick Taylor,1925:Dick_Taylor
1925,players/D/Doug_Hayes.html,1,22,22,f,f,11,1,,,1,unique,3021,Doug Hayes,1925:Doug_Hayes
1925,players/E/Edward_Greeves.html,7,2,2,f,f,17,7,,,7,unique,2959,Edward Greeves,1925:Edward_Greeves
1925,players/E/Edward_Stevenson.html,2,10,10,f,f,11,2,,,2,unique,3736,Edward Stevenson,1925:Edward_Stevenson
