source_key,draft_year,competition,selection_pick,selection_raw,club,drafted_player,drafted_games_reported,drafted_profile,drafted_link,drafted_note,father,father_games_reported,father_profile,father_link,father_note
wikipedia-father-son-rule:1988:01,1988,pre-draft,,,Richmond,Sean Bowden,6,players/S/Sean_Bowden.html,unique,"name, debut 1990 within 1988..1995, played for the club; games corroborated",Michael Bowden,59,players/M/Michael_Bowden.html,unique,"name, debut 1967 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1988:02,1988,pre-draft,,,Carlton,Michael James,12,players/M/Michael_James.html,unique,"name, debut 1991 within 1988..1995, played for the club; games corroborated",John James,195,players/J/John_James.html,unique,"name, debut 1953 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1988:03,1988,pre-draft,,,Carlton,Chris Mulcair,0,,unmatched,never played a VFL/AFL match (list: 0 games),Barry Mulcair,20,players/B/Barry_Mulcair.html,unique,"name, debut 1970 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1988:04,1988,pre-draft,,,Collingwood,Heath Shephard,11,players/H/Heath_Shephard.html,unique,"name, debut 1989 within 1988..1995, played for the club; games corroborated",Graeme Shephard,46,players/G/Graeme_Shephard.html,unique,"name, debut 1970 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1988:05,1988,national,111,111,Melbourne,Tom Kavanagh,2,players/T/Tom_Kavanagh.html,unique,"name, debut 1989 within 1988..1995, played for the club; games corroborated",Brent Crosswell,48,players/B/Brent_Crosswell.html,unique,"name, debut 1968 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1988:06,1988,national,106,106,Sydney,Gareth John,21,players/G/Gareth_John.html,unique,"name, debut 1990 within 1988..1995, played for the club; games corroborated",Graeme John,77 (South Melbourne),players/G/Graeme_John.html,unique,"name, debut 1964 at least 15 seasons before 1988, played for the club; games corroborated"
wikipedia-father-son-rule:1989:01,1989,national,105,105,St Kilda,Stuart Annand,0,,unmatched,never played a VFL/AFL match (list: 0 games),Bud Annand,106,players/B/Bud_Annand.html,unique,"name, debut 1956 at least 15 seasons before 1989, played for the club; games corroborated"
wikipedia-father-son-rule:1989:02,1989,national,106,106,Collingwood,"Ernie Hug, Jr.",0,,unmatched,never played a VFL/AFL match (list: 0 games),"Ernie Hug, Sr.",59,players/E/Ernie_Hug.html,unique,"name, debut 1963 at least 15 seasons before 1989, played for the club; games corroborated"
wikipedia-father-son-rule:1989:03,1989,national,112,112,West Coast,Ashley McIntosh,242,players/A/Ashley_McIntosh.html,unique,"name, debut 1991 within 1989..1996, played for the club; games corroborated",John McIntosh,146 (Claremont),players/J/John_McIntosh.html,resolved,"adjudicated (2026-09-05): Qualifying club is Claremont (WAFL), so the lineage rule cannot fire. Wikipedia 'Ashley McIntosh': 'The son of John McIntosh, who played football for Claremont and St Kilda'; the only John McIntosh on AFL Tables is St Kilda 1970–1972 (51 games)."
wikipedia-father-son-rule:1992:01,1992,pre-draft,,,Essendon,Dustin Fletcher,400,players/D/Dustin_Fletcher.html,unique,"name, debut 1993 within 1992..1999, played for the club; games corroborated",Ken Fletcher,264,players/K/Ken_Fletcher.html,unique,"name, debut 1967 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:02,1992,pre-draft,,,Footscray,Luke Darcy,226,players/L/Luke_Darcy.html,unique,"name, debut 1994 within 1992..1999, played for the club; games corroborated",David Darcy,133,players/D/David_Darcy.html,unique,"name, debut 1963 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:03,1992,pre-draft,,,Richmond,Matthew Richardson,282,players/M/Matthew_Richardson.html,unique,"name, debut 1993 within 1992..1999, played for the club; games corroborated",Alan Richardson,103,players/A/Alan_Richardson0.html,unique,"name, debut 1959 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:04,1992,pre-draft,,,Carlton,Darren Walsh,0,,unmatched,never played a VFL/AFL match (list: 0 games),Brian Walsh,64,players/B/Brian_Walsh1.html,unique,"name, debut 1970 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:05,1992,pre-draft,,,Melbourne,Glenn Molloy,20,players/G/Glenn_Molloy.html,unique,"name, debut 1993 within 1992..1999, played for the club; games corroborated",Graham Molloy,67,players/G/Graham_Molloy.html,unique,"name, debut 1970 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:06,1992,pre-draft,,,Melbourne,Brad Campbell,1,players/B/Bradley_Campbell.html,resolved,"adjudicated (2026-09-05): Name variant only. AFL Tables and DraftGuru (1992 pre-draft selection, Melbourne, 'Bradley Campbell') record the given name in full; Melbourne, one game in 1994, inside the post-selection window; the list's 1 game matches; no other Campbell debuted for Melbourne 1992–1999.",Des Campbell,50,players/D/Des_Campbell.html,unique,"name, debut 1970 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1992:07,1992,pre-draft,,,St Kilda,David Sierakowski,93,players/D/David_Sierakowski.html,unique,"name, debut 1994 within 1992..1999, played for the club; games corroborated",Brian Sierakowski,75,players/B/Brian_Sierakowski.html,unique,"name, debut 1964 at least 15 seasons before 1992, played for the club; games corroborated"
wikipedia-father-son-rule:1993:01,1993,pre-draft,,,Fitzroy,Jarrod Molloy,59,players/J/Jarrod_Molloy.html,unique,"name, debut 1994 within 1993..2000, played for the club; games corroborated",Shane Molloy,61,players/S/Shane_Molloy.html,unique,"name, debut 1969 at least 15 seasons before 1993, played for the club; games corroborated"
wikipedia-father-son-rule:1994:01,1994,pre-draft,,,Richmond,David Bourke,85,players/D/David_Bourke.html,unique,"name, debut 1995 within 1994..2001, played for the club; games corroborated",Francis Bourke,300,players/F/Francis_Bourke.html,unique,"name, debut 1967 at least 15 seasons before 1994, played for the club; games corroborated"
