source_key,family_key,family_name,person_a_name,person_a_role,person_a_wikipedia,person_a_clubs,person_a_legacy,person_a_profile,person_a_link,person_a_note,person_b_name,person_b_role,person_b_wikipedia,person_b_clubs,person_b_legacy,person_b_profile,person_b_link,person_b_note,relationship_label,source_label,evidence,extraction_method,source_revision_id,also_source_keys
7215069f1948a264c78f28bb,abbott-0002,Abbott,Clarence Abbott,brother,https://en.wikipedia.org/wiki/Clarence_Abbott,"Collingwood , Carlton , Richmond , Melbourne , South Melbourne",unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Les Abbott,brother,https://en.wikipedia.org/wiki/Les_Abbott,"Collingwood , Melbourne",unique:5186,players/L/Les_Abbott.html,unique,"name, played for a listed club (collingwood, melbourne)",brothers,siblings/brothers,Clarrie and Les were brothers.,prose_rule,1365040810,
310411eece54a8dfabe8e9a4,abernethy-0003,Abernethy,Bob Abernethy,sibling,https://en.wikipedia.org/wiki/Bob_Abernethy_(footballer),Melbourne,unique:6881,players/B/Bob_Abernethy.html,unique,"name, played for a listed club (melbourne)",Jim Abernethy,sibling,https://en.wikipedia.org/wiki/Jim_Abernethy,Melbourne,unique:1474,players/J/Jim_Abernethy.html,unique,"name, played for a listed club (melbourne)",brothers,siblings/brothers,Bob and Jim were brothers.,prose_rule,1365040810,
afldb-sibling-supplement:001,ablett-0004,Ablett,Gary Ablett Jr,brother,,,,players/G/Gary_Ablett1.html,resolved,"supplement (2026-09-05): Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ablett'): 'Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Nathan Ablett': 'Nathan is the youngest son of Gary Ablett Sr and the younger brother of Gary Ablett Jr'; born 13 December 1985, Geelong 2005-2007 and Gold Coast 2011. Wikipedia 'Gary Ablett Jr.': 'Along with his brother Nathan, Ablett would regularly attend his father's training sessions'; born 14 May 1984, Geelong 2002-2010, Gold Coast 2011-2017, Geelong 2018-2020. AFL Tables Gary_Ablett1 (debut 2002) and Nathan_Ablett (debut 2005)",Nathan Ablett,brother,,,,players/N/Nathan_Ablett.html,resolved,"supplement (2026-09-05): Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ablett'): 'Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Nathan Ablett': 'Nathan is the youngest son of Gary Ablett Sr and the younger brother of Gary Ablett Jr'; born 13 December 1985, Geelong 2005-2007 and Gold Coast 2011. Wikipedia 'Gary Ablett Jr.': 'Along with his brother Nathan, Ablett would regularly attend his father's training sessions'; born 14 May 1984, Geelong 2002-2010, Gold Coast 2011-2017, Geelong 2018-2020. AFL Tables Gary_Ablett1 (debut 2002) and Nathan_Ablett (debut 2005)",brothers,supplement,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ablett'): 'Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Nathan Ablett': 'Nathan is the youngest son of Gary Ablett Sr and the younger brother of Gary Ablett Jr'; born 13 December 1985, Geelong 2005-2007 and Gold Coast 2011. Wikipedia 'Gary Ablett Jr.': 'Along with his brother Nathan, Ablett would regularly attend his father's training sessions'; born 14 May 1984, Geelong 2002-2010, Gold Coast 2011-2017, Geelong 2018-2020. AFL Tables Gary_Ablett1 (debut 2002) and Nathan_Ablett (debut 2005)",adjudication,,
17c6c9eeff2df0317827557b,ablett-0004,Ablett,Gary Ablett Sr,brother,https://en.wikipedia.org/wiki/Gary_Ablett_Sr.,Hawthorn / Geelong,resolved:567,players/G/Gary_Ablett0.html,unique,"name, sr. suffix, played for a listed club (hawthorn, geelong)",Geoff Ablett,sibling,https://en.wikipedia.org/wiki/Geoff_Ablett,"Hawthorn , Richmond / St Kilda",unique:1477,players/G/Geoff_Ablett.html,unique,"name, played for a listed club (hawthorn, richmond, st-kilda)",brothers,siblings/brothers,"Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan, Kevin is Luke's father.",prose_rule,1365040810,
04a89a802dc5e042dd7014b0,ablett-0004,Ablett,Gary Ablett Sr,brother,https://en.wikipedia.org/wiki/Gary_Ablett_Sr.,Hawthorn / Geelong,resolved:567,players/G/Gary_Ablett0.html,unique,"name, sr. suffix, played for a listed club (hawthorn, geelong)",Kevin Ablett,sibling,https://en.wikipedia.org/wiki/Kevin_Ablett,"Hawthorn , Richmond / Geelong",unique:1476,players/K/Kevin_Ablett.html,unique,"name, played for a listed club (hawthorn, richmond, geelong)",brothers,siblings/brothers,"Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan, Kevin is Luke's father.",prose_rule,1365040810,
81800459ecc693c182e86239,abley-0005,Abley,John Abley,sibling,https://en.wikipedia.org/wiki/John_Abley,Port Adelaide,unmatched,,unmatched,no VFL/AFL player of that name played for a listed club,Kevin Abley,sibling,https://en.wikipedia.org/wiki/Kevin_Abley,Glenelg,out_of_scope,,unmatched,listed clubs are not VFL/AFL clubs (Glenelg),brothers,siblings/brothers,John and Kevin were brothers.,prose_rule,1365040810,
3a2ec920150eb54cb6f7397f,adamson-0006,Adamson,Dave Adamson,sibling,https://en.wikipedia.org/wiki/Dave_Adamson_(Australian_footballer),South Melbourne,unique:4280,players/D/Dave_Adamson.html,unique,"name, played for a listed club (sydney)",Jack Adamson,brother,https://en.wikipedia.org/wiki/Jack_Adamson,South Melbourne,unique:4281,players/J/Jack_Adamson.html,unique,"name, played for a listed club (sydney)",brothers,siblings/brothers,Jack was the elder brother of Dave.,prose_rule,1365040810,
e18831a049a78b5c8f1bc437,ah-chee-0007,Ah Chee,Brendon Ah Chee,brother,https://en.wikipedia.org/wiki/Brendon_Ah_Chee,"Port Adelaide , West Coast",unique:12338,players/B/Brendon_Ah_Chee.html,unique,"name, played for a listed club (port-adelaide, west-coast)",Callum Ah Chee,sibling,https://en.wikipedia.org/wiki/Callum_Ah_Chee,"Gold Coast , Brisbane Lions",unique:12414,players/C/Callum_Ah_Chee.html,unique,"name, played for a listed club (gold-coast, brisbane-lions)",brothers,siblings/brothers,Brendon is the elder brother of Callum.,prose_rule,1365040810,
c33d8864f1bc04f01860db4b,ahmat-0008,Ahmat,Matthew Ahmat,sibling,https://en.wikipedia.org/wiki/Matthew_Ahmat,"Brisbane Lions , Sydney",unique:1182,players/M/Matthew_AhMat.html,unique,"name, played for a listed club (brisbane-lions, sydney)",Robert Ahmat,sibling,https://en.wikipedia.org/wiki/Robert_Ahmat,"Collingwood , Sydney",unique:239,players/R/Robert_AhMat.html,unique,"name, played for a listed club (collingwood, sydney)",brothers,siblings/brothers,Matthew and Robert are brothers.,prose_rule,1365040810,
0946b3fcc6b890f6445b5ba5,aitchison-0010,Aitchison,Ern Aitchison,sibling,https://en.wikipedia.org/wiki/Ern_Aitchison,Hawthorn,unique:7681,players/E/Ern_Aitchison.html,unique,"name, played for a listed club (hawthorn)",Jack Aitchison,sibling,https://en.wikipedia.org/wiki/Jack_Aitchison_(Australian_footballer),Hawthorn,unique:7993,players/J/Jack_Aitchison.html,unique,"name, played for a listed club (hawthorn)",brothers,siblings/brothers,Ern and Jack were brothers.,prose_rule,1365040810,
