supplement_key,family_key,family_name,person_a_name,person_a_profile,person_b_name,person_b_profile,relationship_label,evidence,decided_on
afldb-sibling-supplement:001,ablett-0004,Ablett,Gary Ablett Jr,players/G/Gary_Ablett1.html,Nathan Ablett,players/N/Nathan_Ablett.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ablett'): 'Gary is the brother of Geoff and Kevin and father of Gary Jr. and Nathan' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Nathan Ablett': 'Nathan is the youngest son of Gary Ablett Sr and the younger brother of Gary Ablett Jr'; born 13 December 1985, Geelong 2005-2007 and Gold Coast 2011. Wikipedia 'Gary Ablett Jr.': 'Along with his brother Nathan, Ablett would regularly attend his father's training sessions'; born 14 May 1984, Geelong 2002-2010, Gold Coast 2011-2017, Geelong 2018-2020. AFL Tables Gary_Ablett1 (debut 2002) and Nathan_Ablett (debut 2005)",2026-09-05
afldb-sibling-supplement:002,brayshaw-0106,Brayshaw,Angus Brayshaw,players/A/Angus_Brayshaw.html,Andrew Brayshaw,players/A/Andrew_Brayshaw.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Brayshaw'): 'Ian is the father of Mark, who is the father of Angus, Hamish and Andrew' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Angus Brayshaw' (born 9 January 1996, Melbourne 2015-2023): 'His younger brother, Andrew, plays for Fremantle'. AFL Tables Andrew_Brayshaw: born 1999, Fremantle debut 2018",2026-09-05
afldb-sibling-supplement:003,brayshaw-0106,Brayshaw,Angus Brayshaw,players/A/Angus_Brayshaw.html,Hamish Brayshaw,players/H/Hamish_Brayshaw.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Brayshaw'): 'Ian is the father of Mark, who is the father of Angus, Hamish and Andrew' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Angus Brayshaw': 'his other younger brother, Hamish Brayshaw, used to play for West Coast Eagles'. AFL Tables Hamish_Brayshaw: born 1998, West Coast 2020, 1 game",2026-09-05
afldb-sibling-supplement:004,ottens-0668,Ottens,Brad Ottens,players/B/Brad_Ottens.html,Luke Ottens,players/L/Luke_Ottens.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ottens'): 'Dean is the father of Brad and Luke' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Luke Ottens' (born 22 May 1976, Melbourne, 4 games): 'His brother, Brad, had a successful AFL career, winning three premierships with Geelong'; 'Ottens made his AFL debut in the first round of the 1999 season, playing against his brother, Brad'. AFL Tables Brad_Ottens (born 1980, Richmond/Geelong 1998-2011) and Luke_Ottens (Melbourne 1999, 4 games)",2026-09-05
afldb-sibling-supplement:005,mooney-0612,Mooney,Cameron Mooney,players/C/Cameron_Mooney.html,Jason Mooney,players/J/Jason_Mooney.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Mooney'): 'Jason is Cameron's elder brother' — explicit on the page itself; the export's prose rule produced no sibling row. Wikipedia 'Jason Mooney (Australian rules footballer)' (born 5 June 1973, Sydney 1992-1998, Geelong 1999-2001): 'He is the older brother of Geelong premiership player Cameron Mooney and played alongside him in 2000 and 2001'. AFL Tables Cameron_Mooney (born 1979, debut 1999) and Jason_Mooney (born 1973, debut 1992)",2026-09-05
afldb-sibling-supplement:006,wakelin-0862,Wakelin,Darryl Wakelin,players/D/Darryl_Wakelin.html,Shane Wakelin,players/S/Shane_Wakelin.html,twin brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Wakelin'): 'Darryl and Shane are identical twin brothers' — explicit on the page itself; the export's prose rule produced no sibling row. Wikipedia 'Darryl Wakelin' (born 11 August 1974, St Kilda/Port Adelaide 1995-2007): 'Wakelin's identical twin, Shane Wakelin, played alongside him at St Kilda'; 'the Wakelin brothers became the most capped pair of twin brothers'. AFL Tables Shane_Wakelin: born 12 August 1974 (AFL Tables date), St Kilda/Collingwood 1994-2008",2026-09-05
afldb-sibling-supplement:007,daniher-0235,Daniher,Joe Daniher,players/J/Joe_Daniher.html,Darcy Daniher,players/D/Darcy_Daniher.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Daniher'): 'Anthony is the father of Darcy and Joe and the brother of Chris, Neale and Terry' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Joe Daniher' (born 4 March 1994, Essendon 2013-2020, Brisbane 2021-2024): 'chose to join the Bombers, where his brother Darcy Daniher was a team member at the time'. AFL Tables Darcy_Daniher: born 1989, Essendon 2008-2009, 6 games",2026-09-05
afldb-sibling-supplement:008,cornes-0213,Cornes,Kane Cornes,players/K/Kane_Cornes.html,Chad Cornes,players/C/Chad_Cornes.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Cornes'): 'Graham is the father of Chad and Kane' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Kane Cornes' (born 5 January 1983, Port Adelaide 2001-2015): 'His All Australian brother, Chad Cornes, also attended Sacred Heart College'. AFL Tables Chad_Cornes: born 1979, Port Adelaide/GWS 1999-2012",2026-09-05
afldb-sibling-supplement:009,ball-0045,Ball,Luke Ball,players/L/Luke_Ball.html,Matthew Ball,players/M/Matthew_Ball.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Ball'): 'Luke and Matthew are the sons of Ray' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Luke Ball' (born 25 May 1984, St Kilda/Collingwood 2003-2014): 'Ball is the younger brother of Hawthorn player Matthew Ball'. AFL Tables Matthew_Ball: born 1982, Hawthorn 2004-2006, 17 games",2026-09-05
afldb-sibling-supplement:010,burgoyne-0138,Burgoyne,Peter Burgoyne,players/P/Peter_Burgoyne.html,Shaun Burgoyne,players/S/Shaun_Burgoyne.html,brothers,"Families page entry (https://en.wikipedia.org/wiki/List_of_Australian_rules_football_families, revision 1365040810, 'Burgoyne'): 'Peter (Snr.) is the father of Peter and Shaun' — sons of one father only, not itself brother evidence; the relationship is explicit in the players' own articles: Wikipedia 'Peter Burgoyne' (born 29 January 1978, Port Adelaide 1997-2009): 'He is the elder brother of former Hawthorn and Port Adelaide player, Shaun Burgoyne'. AFL Tables Shaun_Burgoyne: born 1982, Port Adelaide/Hawthorn 2002-2021",2026-09-05
