section,draftguru_url,draftguru_name,captured_href,retained_or_corrected_name,retained_or_corrected_birth_year,draftguru_birth_year,draftguru_games,retained_career_span_or_games,event_year,event_kind,classification_or_reason,sample_status_or_stratum,allowed_verdicts,operator_verdict,operator_notes
1_relisting_signature,https://www.draftguru.com.au/players/andrew_krakouer/1,Andrew Krakouer,players/A/Andrew_Krakouer0.html,Andrew Krakouer,1971,1971,0,1989-1990/8,1992,Mid-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/andrew_tarpey/1,Andrew Tarpey,players/A/Andrew_Tarpey.html,Andrew Tarpey,1965,1965,0,1988-1991/9,1991,Mid-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/athas_hrysoulakis/1,Athas Hrysoulakis,players/A/Athas_Hrysoulakis.html,Athas Hrysoulakis,1969,1968,0,1987-1990/19,1990,Mid-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/bradley_sparks/1,Bradley Sparks,players/B/Bradley_Sparks.html,Bradley Sparks,1967,1967,0,1987-1988/4,1990,Pre-Draft,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/bret_hutchinson/1,Bret Hutchinson,players/B/Bret_Hutchinson.html,Bret Hutchinson,1964,1964,0,1985-1985/1,1989,Pre-Season,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/chris_o'dwyer/1,Chris O'Dwyer,players/C/Chris_ODwyer.html,Chris ODwyer,1971,1971,0,1990-1991/8,1992,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/craig_somerville/1,Craig Somerville,players/C/Craig_Somerville.html,Craig Somerville,1968,1968,0,1986-1986/8,1988,Trade,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/darren_morgan/1,Darren Morgan,players/D/Darren_Morgan.html,Darren Morgan,1965,1965,0,1984-1990/92,1990,Pre-Draft,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/darren_williams/1,Darren Williams,players/D/Darren_Williams.html,Darren Williams,1960,1960,0,1979-1989/109,1990,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/david_sullivan/1,David Sullivan,players/D/David_Sullivan.html,David Sullivan,1966,1966,0,1986-1988/11,1989,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/david_williams/1,David Williams,players/D/David_Williams.html,David Williams,1962,1961,0,1983-1988/67,1989,Pre-Season,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/dean_strauch/1,Dean Strauch,players/D/Dean_Strauch.html,Dean Strauch,1966,1965,0,1986-1989/5,1989,Mid-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/gary_keane/1,Gary Keane,players/G/Gary_Keane.html,Gary Keane,1964,1964,0,1985-1988/55,1989,Trade,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/gerard_healy/1,Gerard Healy,players/G/Gerard_Healy.html,Gerard Healy,1961,1961,0,1979-1990/211,1990,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/glen_bartlett/1,Glen Bartlett,players/G/Glen_Bartlett.html,Glen Bartlett,1964,1964,0,1987-1987/4,1989,Mid-Season,original_23,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/gordon_fode/1,Gordon Fode,players/G/Gordon_Fode.html,Gordon Fode,1971,1971,0,1988-1995/52,1995,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/ian_rickman/1,Ian Rickman,players/I/Ian_Rickman.html,Ian Rickman,1963,1963,0,1982-1984/11,1989,Pre-Season,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/jason_daniltchenko/1,Jason Daniltchenko,players/J/Jason_Daniltchenko.html,Jason Daniltchenko,1975,1975,0,1993-1997/29,1997,Pre-Season,companion_21,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/john_ahern/1,John Ahern,players/J/John_Ahern.html,John Ahern,1970,1970,0,1989-1989/2,1990,Trade,original_23,non_sample,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
1_relisting_signature,https://www.draftguru.com.au/players/john_fidge/1,John Fidge,players/J/John_Fidge.html,John Fidge,1966,1966,0,1984-1989/59,1989,Pre-Draft,companion_21,random,same_person_valid_relisting|different_person_wrong_href|undetermined_withhold,,
