global_order,group,row_ordinal_in_group,draftguru_url,draftguru_name,retained_or_corrected_name,machine_classification,event_club,retained_played_clubs,event_club_appearance_relationship_derived,event_club_observation,operator_verdict,operator_notes,decided_utc
1,relisting,1,https://www.draftguru.com.au/players/andrew_krakouer/1,Andrew Krakouer,Andrew Krakouer,relisting_signature_review,North Melbourne,North Melbourne,pre_event_only,pre_event_only,same_person_valid_relisting,"https://en.wikipedia.org/wiki/Andrew_Krakouer_(footballer,_born_1971)",2026-09-18T05:37:43Z
2,relisting,2,https://www.draftguru.com.au/players/andrew_tarpey/1,Andrew Tarpey,Andrew Tarpey,relisting_signature_review,Richmond,Collingwood,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://en.wikipedia.org/wiki/Andrew_Tarpey,2026-09-18T05:39:39Z
3,relisting,3,https://www.draftguru.com.au/players/athas_hrysoulakis/1,Athas Hrysoulakis,Athas Hrysoulakis,relisting_signature_review,Richmond,Collingwood,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://en.wikipedia.org/wiki/Athas_Hrysoulakis,2026-09-18T05:40:39Z
4,relisting,4,https://www.draftguru.com.au/players/bradley_sparks/1,Bradley Sparks,Bradley Sparks,relisting_signature_review,Sydney,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://en.wikipedia.org/wiki/Bradley_Sparks,2026-09-18T05:41:45Z
5,relisting,5,https://www.draftguru.com.au/players/bret_hutchinson/1,Bret Hutchinson,Bret Hutchinson,relisting_signature_review,West Coast,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://en.wikipedia.org/wiki/Bret_Hutchinson,2026-09-18T05:42:31Z
6,relisting,6,https://www.draftguru.com.au/players/chris_o'dwyer/1,Chris O'Dwyer,Chris ODwyer,relisting_signature_review,Carlton,Sydney,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://www.draftguru.com.au/players/chris_o'dwyer/1 https://en.wikipedia.org/wiki/Chris_O%27Dwyer https://afltables.com/afl/stats/players/C/Chris_ODwyer.html,2026-09-18T07:53:34Z
7,relisting,7,https://www.draftguru.com.au/players/craig_somerville/1,Craig Somerville,Craig Somerville,relisting_signature_review,Brisbane,Footscray,no_senior_appearance_ever,no_senior_appearance_ever,different_person_wrong_href,https://en.wikipedia.org/wiki/Craig_Somerville,2026-09-18T07:54:16Z
8,relisting,8,https://www.draftguru.com.au/players/darren_morgan/1,Darren Morgan,Darren Morgan,relisting_signature_review,Sydney,Geelong,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://en.wikipedia.org/wiki/Darren_Morgan_(Australian_footballer)  ,2026-09-18T05:45:38Z
9,relisting,9,https://www.draftguru.com.au/players/darren_williams/1,Darren Williams,Darren Williams,relisting_signature_review,Essendon,Essendon,pre_event_only,pre_event_only,same_person_valid_relisting,https://en.wikipedia.org/wiki/Darren_Williams_(Australian_footballer),2026-09-18T07:56:30Z
10,relisting,10,https://www.draftguru.com.au/players/david_sullivan/1,David Sullivan,David Sullivan,relisting_signature_review,Richmond,Essendon; Hawthorn,no_senior_appearance_ever,no_senior_appearance_ever,different_person_wrong_href,https://en.wikipedia.org/wiki/David_Sullivan_(footballer) ,2026-09-18T07:56:42Z
11,relisting,11,https://www.draftguru.com.au/players/david_williams/1,David Williams,David Williams,relisting_signature_review,Richmond,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,https://www.draftguru.com.au/players/david_williams/1 https://en.wikipedia.org/wiki/David_Williams_(Australian_rules_footballer) https://afltables.com/afl/stats/players/D/David_Williams.html,2026-09-18T05:48:48Z
12,relisting,12,https://www.draftguru.com.au/players/dean_strauch/1,Dean Strauch,Dean Strauch,relisting_signature_review,Brisbane,Carlton,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T07:58:16Z
13,relisting,13,https://www.draftguru.com.au/players/gary_keane/1,Gary Keane,Gary Keane,relisting_signature_review,Geelong,Fitzroy,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T07:59:15Z
14,relisting,14,https://www.draftguru.com.au/players/gerard_healy/1,Gerard Healy,Gerard Healy,relisting_signature_review,Collingwood,Melbourne; Sydney,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T07:59:37Z
15,relisting,15,https://www.draftguru.com.au/players/glen_bartlett/1,Glen Bartlett,Glen Bartlett,relisting_signature_review,Brisbane,West Coast,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:02:45Z
16,relisting,16,https://www.draftguru.com.au/players/gordon_fode/1,Gordon Fode,Gordon Fode,relisting_signature_review,Hawthorn,St Kilda,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:03:03Z
17,relisting,17,https://www.draftguru.com.au/players/ian_rickman/1,Ian Rickman,Ian Rickman,relisting_signature_review,Western Bulldogs,Footscray,pre_event_only,pre_event_only,same_person_valid_relisting,,2026-09-18T08:03:35Z
18,relisting,18,https://www.draftguru.com.au/players/jason_daniltchenko/1,Jason Daniltchenko,Jason Daniltchenko,relisting_signature_review,Hawthorn,North Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:03:58Z
19,relisting,19,https://www.draftguru.com.au/players/john_ahern/1,John Ahern,John Ahern,relisting_signature_review,North Melbourne,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:04:22Z
20,relisting,20,https://www.draftguru.com.au/players/john_fidge/1,John Fidge,John Fidge,relisting_signature_review,Sydney,Brisbane Bears; Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:04:51Z
21,relisting,21,https://www.draftguru.com.au/players/john_peter-budge/1,John Peter-Budge,John Peter-Budge,relisting_signature_review,Richmond,St Kilda,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:05:20Z
22,relisting,22,https://www.draftguru.com.au/players/justin_pickering/1,Justin Pickering,Justin Pickering,relisting_signature_review,Western Bulldogs,Richmond,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:05:47Z
23,relisting,23,https://www.draftguru.com.au/players/lynton_fitzpatrick/1,Lynton Fitzpatrick,Lynton Fitzpatrick,relisting_signature_review,Geelong,Footscray,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:06:16Z
24,relisting,24,https://www.draftguru.com.au/players/mark_majerczak/1,Mark Majerczak,Mark Majerczak,relisting_signature_review,Western Bulldogs,Carlton,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:06:41Z
25,relisting,25,https://www.draftguru.com.au/players/mark_mcleod/1,Mark McLeod,Mark McLeod,relisting_signature_review,Hawthorn,Richmond,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:07:07Z
26,relisting,26,https://www.draftguru.com.au/players/mark_o'donoghue/1,Mark O'Donoghue,Mark ODonoghue,relisting_signature_review,Sydney,North Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:07:30Z
27,relisting,27,https://www.draftguru.com.au/players/mark_pitura/1,Mark Pitura,Mark Pitura,relisting_signature_review,Collingwood,Richmond,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:07:58Z
28,relisting,28,https://www.draftguru.com.au/players/michael_garvey/1,Michael Garvey,Michael Garvey,relisting_signature_review,Geelong,Carlton,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:08:33Z
29,relisting,29,https://www.draftguru.com.au/players/nathan_irvin/1,Nathan Irvin,Nathan Irvin,relisting_signature_review,Western Bulldogs,Sydney,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:09:00Z
30,relisting,30,https://www.draftguru.com.au/players/paul_mifka/1,Paul Mifka,Paul Mifka,relisting_signature_review,Brisbane,West Coast,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:09:19Z
31,relisting,31,https://www.draftguru.com.au/players/paul_tuddenham/1,Paul Tuddenham,Paul Tuddenham,relisting_signature_review,Carlton,Collingwood,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:09:57Z
32,relisting,32,https://www.draftguru.com.au/players/peter_baldwin/1,Peter Baldwin,Peter Baldwin,relisting_signature_review,North Melbourne,Geelong,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:18:46Z
33,relisting,33,https://www.draftguru.com.au/players/peter_freeman/1,Peter Freeman,Peter Freeman,relisting_signature_review,West Coast,St Kilda,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:10:51Z
34,relisting,34,https://www.draftguru.com.au/players/peter_whyte/1,Peter Whyte,Peter Whyte,relisting_signature_review,Brisbane,Geelong,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:17:19Z
35,relisting,35,https://www.draftguru.com.au/players/ricky_jackson/1,Ricky Jackson,Ricky Jackson,relisting_signature_review,Western Bulldogs,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:11:42Z
36,relisting,36,https://www.draftguru.com.au/players/robert_walker/1,Robert Walker,Robert Walker,relisting_signature_review,Hawthorn,Richmond,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:12:12Z
37,relisting,37,https://www.draftguru.com.au/players/rodney_gladman/1,Rodney Gladman,Rodney Gladman,relisting_signature_review,Collingwood,St Kilda,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:12:39Z
38,relisting,38,https://www.draftguru.com.au/players/simon_hawking/1,Simon Hawking,Simon Hawking,relisting_signature_review,Brisbane,Fitzroy,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:13:01Z
39,relisting,39,https://www.draftguru.com.au/players/simon_luhrs/1,Simon Luhrs,Simon Luhrs,relisting_signature_review,Hawthorn,Brisbane Bears,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:16:34Z
40,relisting,40,https://www.draftguru.com.au/players/simon_taylor/1,Simon Taylor,Simon Taylor,relisting_signature_review,Fitzroy,Collingwood,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:14:07Z
41,relisting,41,https://www.draftguru.com.au/players/tim_bourke/1,Tim Bourke,Tim Bourke,relisting_signature_review,North Melbourne,Geelong,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:14:48Z
42,relisting,42,https://www.draftguru.com.au/players/tony_elshaug/1,Tony Elshaug,Tony Elshaug,relisting_signature_review,St Kilda,Collingwood; Essendon; Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:15:19Z
43,relisting,43,https://www.draftguru.com.au/players/tony_furey/1,Tony Furey,Tony Furey,relisting_signature_review,North Melbourne,North Melbourne,pre_event_only,pre_event_only,same_person_valid_relisting,,2026-09-18T08:16:11Z
44,relisting,44,https://www.draftguru.com.au/players/warren_dean/1,Warren Dean,Warren Dean,relisting_signature_review,West Coast,Melbourne,no_senior_appearance_ever,no_senior_appearance_ever,same_person_valid_relisting,,2026-09-18T08:23:16Z
45,tokenisation,1,https://www.draftguru.com.au/players/adrian_deluca/1,Adrian Deluca,Adrian De Luca,OTHER_CONTRADICTION:SURNAME_DIFFERENT,,Carlton,not_applicable,,same_person_valid_href,,2026-09-18T08:24:12Z
46,tokenisation,2,https://www.draftguru.com.au/players/setanta_%C3%B3%20hailp%C3%ADn/1,Setanta Ó hAilpín,Setanta OhAilpin,OTHER_CONTRADICTION:SURNAME_DIFFERENT,,Carlton; Greater Western Sydney,not_applicable,,same_person_valid_href,,2026-09-18T08:25:20Z
47,discrepancy,1,https://www.draftguru.com.au/players/tom_murphy/1,Tom Murphy,Tom Murphy,source_discrepancy_manual_curation_candidate,,Gold Coast; Hawthorn,not_applicable,,approve_manual_curation,,2026-09-18T08:25:49Z
48,discrepancy,2,https://www.draftguru.com.au/players/joel_smith/1,Joel Smith,Joel Smith,source_discrepancy_manual_curation_candidate,,Hawthorn; St Kilda,not_applicable,,approve_manual_curation,,2026-09-18T08:26:12Z
49,discrepancy,3,https://www.draftguru.com.au/players/josh_smith/1,Josh Smith,Josh Smith,source_discrepancy_manual_curation_candidate,,North Melbourne,not_applicable,,approve_manual_curation,,2026-09-18T08:26:47Z
50,discrepancy,4,https://www.draftguru.com.au/players/stephen_schwerdt/1,Stephen Schwerdt,Stephen Schwerdt,source_discrepancy_manual_curation_candidate,,Adelaide,not_applicable,,approve_manual_curation,,2026-09-18T08:27:26Z
