sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1,https://www.draftguru.com.au/players/aaron_black/1,players/A/Aaron_Black.html,target_not_registered,target_unregistered,source_discrepancy_same_person,ALTERNATE_REGISTERED_IDENTITY_CORROBORATED,players/A/Aaron_Black0.html,manual_curation,Aaron Black,1990,,,,,57,2009,National,none,TARGET_NOT_REGISTERED,
2,https://www.draftguru.com.au/players/aaron_cadman/1,players/A/Aaron_Cadman.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Cadman,2004,2004,2023,2025,59,77,2022,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
3,https://www.draftguru.com.au/players/aaron_cornelius/1,players/A/Aaron_Cornelius.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Cornelius,1990,1990,2009,2013,25,25,2008,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
4,https://www.draftguru.com.au/players/aaron_davey/1,players/A/Aaron_Davey.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Davey,1983,1983,2004,2013,178,178,2003,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
5,https://www.draftguru.com.au/players/aaron_edwards/1,players/A/Aaron_Edwards.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Edwards,1984,1984,2005,2014,94,94,2002,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
6,https://www.draftguru.com.au/players/aaron_fiora/1,players/A/Aaron_Fiora.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Fiora,1981,1981,2000,2008,140,140,1999,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
7,https://www.draftguru.com.au/players/aaron_francis/1,players/A/Aaron_Francis.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Francis,1997,1997,2016,2025,84,84,2015,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
8,https://www.draftguru.com.au/players/aaron_hall/1,players/A/Aaron_Hall.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Hall,1990,1990,2012,2023,161,161,2011,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
9,https://www.draftguru.com.au/players/aaron_hamill/1,players/A/Aaron_Hamill.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Hamill,1977,1977,1996,2006,190,190,1994,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
10,https://www.draftguru.com.au/players/aaron_henneman/1,players/A/Aaron_Henneman.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Henneman,1980,1981,2000,2005,58,58,1998,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
11,https://www.draftguru.com.au/players/aaron_james/1,players/A/Aaron_James.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron James,1976,1976,1994,2002,54,54,1993,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
12,https://www.draftguru.com.au/players/aaron_joseph/1,players/A/Aaron_Joseph.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Joseph,1989,1989,2009,2013,73,73,2007,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
13,https://www.draftguru.com.au/players/aaron_keating/1,players/A/Aaron_Keating.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Keating,1974,1974,1997,1998,6,6,,,none,BIRTH_YEAR_CONSISTENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
14,https://www.draftguru.com.au/players/aaron_lord/1,players/A/Aaron_Lord.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Lord,1975,1975,1994,2003,150,150,1992,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
15,https://www.draftguru.com.au/players/aaron_mullett/1,players/A/Aaron_Mullett.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Mullett,1992,1992,2011,2018,98,98,2010,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
16,https://www.draftguru.com.au/players/aaron_naughton/1,players/A/Aaron_Naughton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Naughton,1999,1999,2018,2025,166,188,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
17,https://www.draftguru.com.au/players/aaron_rogers/1,players/A/Aaron_Rogers.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Rogers,1984,1984,2004,2004,2,2,2001,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
18,https://www.draftguru.com.au/players/aaron_sandilands/1,players/A/Aaron_Sandilands.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Sandilands,1982,1983,2003,2019,271,271,2001,Rookie,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
19,https://www.draftguru.com.au/players/aaron_shattock/1,players/A/Aaron_Shattock.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Shattock,1980,1980,2000,2006,68,68,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
20,https://www.draftguru.com.au/players/aaron_vandenberg/1,players/A/Aaron_Vandenberg.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Vandenberg,1992,1992,2015,2021,51,51,2014,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
21,https://www.draftguru.com.au/players/aaron_young/1,players/A/Aaron_Young.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Young,1992,1993,2012,2019,100,100,2010,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
22,https://www.draftguru.com.au/players/adam_bentick/1,players/A/Adam_Bentick.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Bentick,1985,1985,2004,2008,68,68,2003,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
23,https://www.draftguru.com.au/players/adam_campbell/1,players/A/Adam_Campbell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Campbell,1985,1985,2006,2009,13,13,2003,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
24,https://www.draftguru.com.au/players/adam_carter/1,players/A/Adam_Carter.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Carter,1994,1994,2013,2014,7,7,2012,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
25,https://www.draftguru.com.au/players/adam_cerra/1,players/A/Adam_Cerra.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cerra,1999,1999,2018,2025,148,168,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
26,https://www.draftguru.com.au/players/adam_chatfield/1,players/A/Adam_Chatfield.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Chatfield,1979,1979,2000,2000,1,1,1997,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
27,https://www.draftguru.com.au/players/adam_cockie/1,players/A/Adam_Cockie.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cockie,1989,1989,2009,2009,7,7,2008,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
28,https://www.draftguru.com.au/players/adam_cockshell/1,players/A/Adam_Cockshell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cockshell,1986,1986,2007,2007,2,2,2006,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
29,https://www.draftguru.com.au/players/adam_contessa/1,players/A/Adam_Contessa.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Contessa,1976,1977,1997,2001,45,45,1996,Rookie,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
30,https://www.draftguru.com.au/players/adam_cooney/1,players/A/Adam_Cooney.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cooney,1985,1986,2004,2016,250,250,2003,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
31,https://www.draftguru.com.au/players/adam_garton/1,players/A/Adam_Garton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Garton,1962,1962,1987,1988,3,3,1986,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
