category,draftguru_url,draftguru_name,captured_afltables_href,retained_target_name,target_career_span,target_career_games,draftguru_games,contradiction_or_reason,child_membership,sample_bucket,affected_pick_count,recommended_disposition,operator_verdict
confirmed_source_mislink,https://www.draftguru.com.au/players/andrew_krakouer/1,Andrew Krakouer,players/A/Andrew_Krakouer0.html,Andrew Krakouer,1989-1990,8,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/bradley_sparks/1,Bradley Sparks,players/B/Bradley_Sparks.html,Bradley Sparks,1987-1988,4,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/bret_hutchinson/1,Bret Hutchinson,players/B/Bret_Hutchinson.html,Bret Hutchinson,1985-1985,1,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,random,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/chris_o'dwyer/1,Chris O'Dwyer,players/C/Chris_ODwyer.html,Chris ODwyer,1990-1991,8,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/craig_somerville/1,Craig Somerville,players/C/Craig_Somerville.html,Craig Somerville,1986-1986,8,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,random,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/darren_williams/1,Darren Williams,players/D/Darren_Williams.html,Darren Williams,1979-1989,109,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/david_sullivan/1,David Sullivan,players/D/David_Sullivan.html,David Sullivan,1986-1988,11,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/david_williams/1,David Williams,players/D/David_Williams.html,David Williams,1983-1988,67,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,random,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/gary_keane/1,Gary Keane,players/G/Gary_Keane.html,Gary Keane,1985-1988,55,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/glen_bartlett/1,Glen Bartlett,players/G/Glen_Bartlett.html,Glen Bartlett,1987-1987,4,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,random,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/ian_rickman/1,Ian Rickman,players/I/Ian_Rickman.html,Ian Rickman,1982-1984,11,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
confirmed_source_mislink,https://www.draftguru.com.au/players/john_ahern/1,John Ahern,players/J/John_Ahern.html,John Ahern,1989-1989,2,0,ZERO_GAME_DRAFTEE_RESOLVES_TO_RETIRED_NAMESAKE,bridged,non_sample,1,exclude_from_bridge,
