category,draftguru_url,captured_href_or_ledger,retained_or_corrected_identity,target_span_or_birth_years,target_games_or_dg_games,event_year,event_kind,sample_bucket,child_status,affected_pick_count,recommended_disposition,operator_verdict
relisting_signature_review,https://www.draftguru.com.au/players/andrew_krakouer/1,players/A/Andrew_Krakouer0.html,Andrew Krakouer,1989-1990,8,1992,Mid-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/andrew_tarpey/1,players/A/Andrew_Tarpey.html,Andrew Tarpey,1988-1991,9,1991,Mid-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/athas_hrysoulakis/1,players/A/Athas_Hrysoulakis.html,Athas Hrysoulakis,1987-1990,19,1990,Mid-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/bradley_sparks/1,players/B/Bradley_Sparks.html,Bradley Sparks,1987-1988,4,1990,Pre-Draft,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/bret_hutchinson/1,players/B/Bret_Hutchinson.html,Bret Hutchinson,1985-1985,1,1989,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/chris_o'dwyer/1,players/C/Chris_ODwyer.html,Chris ODwyer,1990-1991,8,1992,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/craig_somerville/1,players/C/Craig_Somerville.html,Craig Somerville,1986-1986,8,1988,Trade,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/darren_morgan/1,players/D/Darren_Morgan.html,Darren Morgan,1984-1990,92,1990,Pre-Draft,non_sample,bridged,2,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/darren_williams/1,players/D/Darren_Williams.html,Darren Williams,1979-1989,109,1990,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/david_sullivan/1,players/D/David_Sullivan.html,David Sullivan,1986-1988,11,1989,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/david_williams/1,players/D/David_Williams.html,David Williams,1983-1988,67,1989,Pre-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/dean_strauch/1,players/D/Dean_Strauch.html,Dean Strauch,1986-1989,5,1989,Mid-Season,non_sample,bridged,2,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/gary_keane/1,players/G/Gary_Keane.html,Gary Keane,1985-1988,55,1989,Trade,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/gerard_healy/1,players/G/Gerard_Healy.html,Gerard Healy,1979-1990,211,1990,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/glen_bartlett/1,players/G/Glen_Bartlett.html,Glen Bartlett,1987-1987,4,1989,Mid-Season,random,bridged,1,operator_adjudication_required,
relisting_signature_review,https://www.draftguru.com.au/players/gordon_fode/1,players/G/Gordon_Fode.html,Gordon Fode,1988-1995,52,1995,Pre-Season,non_sample,bridged,1,operator_adjudication_required,
