sample_index,stratum,player_url,visible_name,captured_afltables_url,machine_outcome,recheck_classes,draftguru_evidence,retained_evidence,recommended_verdict,recommendation_reason,operator_verdict,operator_notes
428,random,https://www.draftguru.com.au/players/peter_whyte/1,Peter Whyte,https://afltables.com/afl/stats/players/P/Peter_Whyte.html,offline_contradict,1_offline_contradict,Peter Whyte (title says born 1969); games=0 goals=0 (Aug-2026 capture); draft rows: 1990 National pick 68 Brisbane,Peter Whyte; birth_year=1969; games=22 goals=3; span 1986-1988; clubs=Geelong,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/P/Peter_Whyte.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1986-1988, 22 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
586,random,https://www.draftguru.com.au/players/craig_somerville/1,Craig Somerville,https://afltables.com/afl/stats/players/C/Craig_Somerville.html,offline_contradict,1_offline_contradict,Craig Somerville (title says born 1968); games=0 goals=0 (Aug-2026 capture); draft rows: 1988 Trade pick None Brisbane,Craig Somerville; birth_year=1968; games=8 goals=7; span 1986-1986; clubs=Footscray,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/C/Craig_Somerville.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1986-1986, 8 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
625,random,https://www.draftguru.com.au/players/bret_hutchinson/1,Bret Hutchinson,https://afltables.com/afl/stats/players/B/Bret_Hutchinson.html,offline_contradict,1_offline_contradict,Bret Hutchinson (title says born 1964); games=0 goals=0 (Aug-2026 capture); draft rows: 1989 Pre-Season pick 38 West Coast,Bret Hutchinson; birth_year=1964; games=1 goals=0; span 1985-1985; clubs=Melbourne,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/B/Bret_Hutchinson.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1985-1985, 1 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
659,random,https://www.draftguru.com.au/players/tim_bourke/1,Tim Bourke,https://afltables.com/afl/stats/players/T/Tim_Bourke.html,offline_contradict,1_offline_contradict,Tim Bourke (title says born 1969); games=0 goals=0 (Aug-2026 capture); draft rows: 1991 Trade pick None North Melbourne,Tim Bourke; birth_year=1969; games=5 goals=0; span 1989-1990; clubs=Geelong,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/T/Tim_Bourke.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1989-1990, 5 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
874,random,https://www.draftguru.com.au/players/david_williams/1,David Williams,https://afltables.com/afl/stats/players/D/David_Williams.html,offline_contradict,1_offline_contradict,David Williams (title says born 1961); games=0 goals=0 (Aug-2026 capture); draft rows: 1989 Pre-Season pick 7 Richmond,David Williams; birth_year=1962; games=67 goals=102; span 1983-1988; clubs=Melbourne,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/D/David_Williams.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1983-1988, 67 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
948,random,https://www.draftguru.com.au/players/simon_taylor/1,Simon Taylor,https://afltables.com/afl/stats/players/S/Simon_Taylor0.html,offline_contradict,10_weak_or_suffix_or_continuity;1_offline_contradict,Simon Taylor (title says born 1970); games=0 goals=0 (Aug-2026 capture); draft rows: 1991 Pre-Season pick 30 Fitzroy,Simon Taylor; birth_year=1970; games=2 goals=1; span 1989-1989; clubs=Collingwood,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/S/Simon_Taylor0.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1989-1989, 2 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
961,random,https://www.draftguru.com.au/players/glen_bartlett/1,Glen Bartlett,https://afltables.com/afl/stats/players/G/Glen_Bartlett.html,offline_contradict,1_offline_contradict,Glen Bartlett (title says born 1964); games=0 goals=0 (Aug-2026 capture); draft rows: 1989 Mid-Season pick 38 Brisbane,Glen Bartlett; birth_year=1964; games=4 goals=0; span 1987-1987; clubs=West Coast,contradict,"Genuine different-person mismatch, source-side (DraftGuru href), not a tool or AFLDB defect. DraftGuru's own capture records 0 career games for this specific drafted entry (i.e. this person never played a senior game), but the href players/G/Glen_Bartlett.html resolves to an unrelated, already-established AFL/VFL player whose retained career (1987-1987, 4 games) ended before this person's earliest recruitment year. All 7 sampled career-ended contradictions share this identical signature (zero-games draftee linked to an unrelated retired namesake); recommend the bridge for this specific DraftGuru identity remain withheld.",,
227,census,https://www.draftguru.com.au/players/keith_thomas/2,Keith Thomas,https://afltables.com/afl/stats/players/K/Keith_Thomas1.html,offline_limited,10_weak_or_suffix_or_continuity;2_offline_limited,Keith Thomas (title says born 1961); games=28 goals=15 (Aug-2026 capture); draft rows: 1982 National pick 5 Melbourne,Keith Thomas; birth_year=1961; games=28 goals=15; span 1987-1988; clubs=Fitzroy,agree,"Numeric-suffix identity (Keith_Thomas1.html) with no club overlap (DraftGuru's sole draft-club Melbourne 1982 vs retained club Fitzroy), which is why the tool correctly withholds offline_strong for a suffixed path here. Birth year (1961/1961 exact) and games (28/28 exact) both corroborate strongly. Recommend confirming despite the missing club-overlap signal.",,
371,census,https://www.draftguru.com.au/players/tim_walsh/1,Tim Walsh,https://afltables.com/afl/stats/players/T/Tim_Walsh.html,offline_limited,2_offline_limited,Tim Walsh (title says born 1985); games=1 goals=1 (Aug-2026 capture); draft rows: 2002 National pick 4 Western Bulldogs,Tim Walsh; birth_year=None; games=1 goals=1; span 2005-2005; clubs=Western Bulldogs,agree,"Age-calculation boundary issue, not a contradiction: this identity's only retained dated row records a literal Age=""0"" source-data sentinel (confirmed via the AGE_ARTIFACT_FLOOR tool correction; population check found 10/3,564 bridged identities share this artifact). No valid retained age evidence exists at all for this identity, hence BIRTH_YEAR_UNAVAILABLE (honest, not a guess). Games (1/1), club (Western Bulldogs/Western Bulldogs) and debut-timing all match exactly. Recommend confirming the identity on the strength of the non-birth-year signals.",,
197,census,https://www.draftguru.com.au/players/joel_smith/1,Joel Smith,https://afltables.com/afl/stats/players/J/Joel_Smith.html,target_unregistered,3_target_unregistered;6_numbering,Joel Smith (title says born 1977); games=163 goals=39 (Aug-2026 capture); draft rows: 1994 National pick 5 St Kilda; 1997 Pre-Season pick 2 Hawthorn,NOT REGISTERED on afldb_test (no retained snapshot rows for this identity),source_discrepancy_same_person,"DraftGuru's captured href names the plain, unsuffixed path (players/J/Joel_Smith.html), which does not exist in the accepted snapshot -- only the suffixed 0/1 variants do (AFL Tables retroactively numbers every name shared by 2+ players). players/J/Joel_Smith0.html matches on three independent signals beyond name: games 221/221 exact, birth year ~1977 (from Age at debut) matching the DraftGuru title year, and club history (St Kilda, Hawthorn) matching exactly (span 1995-2007). This is sufficient corroboration to identify the correct registered target, but the existing bridge contract joins on the literal captured href only and has no suffix-fallback; recommend NOT auto-applying this bridge, and instead routing to operator player-link curation naming players/J/Joel_Smith0.html as the deterministic correction. Machine outcome (target_unregistered) is correct under the current contract and is left unchanged.",,
