sample_index,stratum,player_url,expected_afltables_identity,child_status,outcome,reason_codes,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,earliest_recruitment_year,earliest_recruitment_event_type,numeric_suffix,continuity_rule_url,name_variant,known_exception_class,ledger_status,weak_evidence,operator_review_required,missing_fields
1,census,https://www.draftguru.com.au/players/aaron_cadman/1,players/A/Aaron_Cadman.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Aaron Cadman,2004,2004,2023,2025,59,2022,National,False,False,False,,none,False,False,
2,census,https://www.draftguru.com.au/players/aaron_fiora/1,players/A/Aaron_Fiora.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Aaron Fiora,1981,1981,2000,2008,140,1999,National,False,False,False,,none,False,False,
3,census,https://www.draftguru.com.au/players/aaron_francis/1,players/A/Aaron_Francis.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Aaron Francis,1997,1997,2016,2025,84,2015,National,False,False,False,,none,False,False,
4,census,https://www.draftguru.com.au/players/aaron_naughton/1,players/A/Aaron_Naughton.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Aaron Naughton,1999,1999,2018,2025,166,2017,National,False,False,False,,none,False,False,
5,census,https://www.draftguru.com.au/players/adam_cerra/1,players/A/Adam_Cerra.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Adam Cerra,1999,1999,2018,2025,148,2017,National,False,False,False,,none,False,False,
6,census,https://www.draftguru.com.au/players/adam_cooney/1,players/A/Adam_Cooney.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Adam Cooney,1985,1986,2004,2016,250,2003,National,False,False,False,,none,False,False,
7,census,https://www.draftguru.com.au/players/adam_heuskes/1,players/A/Adam_Heuskes.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Adam Heuskes,1976,1976,1994,2000,125,1993,National,False,False,False,,none,False,False,
8,census,https://www.draftguru.com.au/players/adam_tomlinson/1,players/A/Adam_Tomlinson.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Adam Tomlinson,1993,1993,2012,2024,185,2011,National,False,False,False,,none,False,False,
9,census,https://www.draftguru.com.au/players/alan_didak/1,players/A/Alan_Didak.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Alan Didak,1983,1983,2001,2013,218,2000,National,False,False,False,,none,False,False,
10,census,https://www.draftguru.com.au/players/alan_johnson/1,players/A/Alan_Johnson.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Alan Johnson,1956,1957,1982,1990,135,1981,,False,False,False,,none,False,False,
11,census,https://www.draftguru.com.au/players/alex_mcdonald/1,players/A/Alex_McDonald.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Alex McDonald,1970,1970,1990,1999,107,1988,National,False,False,False,,none,False,False,
12,census,https://www.draftguru.com.au/players/alix_tauru/1,players/A/Alix_Tauru.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Alix Tauru,2006,2006,2025,2025,10,2024,National,False,False,False,,none,False,False,
13,census,https://www.draftguru.com.au/players/allan_sidebottom/1,players/A/Allan_Sidebottom.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,Allan Sidebottom,1959,1959,1983,1987,56,1982,,False,False,False,,none,False,False,
14,census,https://www.draftguru.com.au/players/allen_jakovich/1,players/A/Allen_Jakovich.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Allen Jakovich,1968,1968,1991,1996,54,1990,National,False,False,False,,none,False,False,
15,census,https://www.draftguru.com.au/players/andrew_brayshaw/1,players/A/Andrew_Brayshaw.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Brayshaw,1999,1999,2018,2025,170,2017,National,False,False,False,,none,False,False,
16,census,https://www.draftguru.com.au/players/andrew_brockhurst/1,players/A/Andrew_Brockhurst.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Brockhurst,1964,1964,1988,1990,38,1987,,False,False,False,,none,False,False,
17,census,https://www.draftguru.com.au/players/andrew_gaff/1,players/A/Andrew_Gaff.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Gaff,1992,1992,2011,2024,280,2010,National,False,False,False,,none,False,False,
18,census,https://www.draftguru.com.au/players/andrew_lamprill/1,players/A/Andrew_Lamprill.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Lamprill,1969,1969,1992,1997,36,1991,National,False,False,False,,none,False,False,
19,census,https://www.draftguru.com.au/players/andrew_mackie/1,players/A/Andrew_Mackie.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Mackie,1984,1984,2004,2017,280,2002,National,False,False,False,,none,False,False,
20,census,https://www.draftguru.com.au/players/andrew_mcdougall/1,players/A/Andrew_McDougall.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew McDougall,1983,1983,2002,2007,43,2000,National,False,False,False,,none,False,False,
21,census,https://www.draftguru.com.au/players/andrew_mcgovern/1,players/A/Andrew_McGovern.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew McGovern,1968,1968,1992,1998,83,1991,National,False,False,False,,none,False,False,
22,census,https://www.draftguru.com.au/players/andrew_mcgrath/1,players/A/Andrew_McGrath.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew McGrath,1998,1998,2017,2025,180,2016,National,False,False,False,,none,False,False,
23,census,https://www.draftguru.com.au/players/andrew_moore/1,players/A/Andrew_Moore.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Moore,1991,1991,2010,2016,60,2009,National,False,False,False,,none,False,False,
24,census,https://www.draftguru.com.au/players/andrew_payze/1,players/A/Andrew_Payze.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Payze,1966,1966,1991,1992,14,1986,National,False,False,False,,none,False,False,
25,census,https://www.draftguru.com.au/players/andrew_purser/1,players/A/Andrew_Purser.html,bridged,offline_strong,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,Andrew Purser,1958,1959,1983,1987,112,1982,,False,False,False,,none,False,False,
