"id","category","question","expected","outcome","headline","interpretation","tags"
"exp_0003","grand_final_record","most goalss in a Grand Final","plan","absent",,,"grand_final,plural"
"exp_0004","finals_record","finals record for goalss","plan","absent",,,"finals,record"
"exp_0005","finals_record","most goalss in a final","plan","absent",,,"finals,single_final"
"exp_0013","grand_final_record","most markss in a Grand Final","plan","absent",,,"grand_final,plural"
"exp_0014","finals_record","finals record for markss","plan","absent",,,"finals,record"
"exp_0015","finals_record","most markss in a final","plan","absent",,,"finals,single_final"
"exp_0018","grand_final_record","most kickss in a Grand Final","plan","absent",,,"grand_final,plural"
"exp_0019","finals_record","finals record for kickss","plan","absent",,,"finals,record"
"exp_0020","finals_record","most kickss in a final","plan","absent",,,"finals,single_final"
"exp_0023","grand_final_record","most handballss in a Grand Final","plan","absent",,,"grand_final,plural"
"exp_0024","finals_record","finals record for handballss","plan","absent",,,"finals,record"
"exp_0025","finals_record","most handballss in a final","plan","absent",,,"finals,single_final"
"exp_0028","grand_final_record","most disposalss in a Grand Final","plan","absent",,,"grand_final,plural"
"exp_0029","finals_record","finals record for disposalss","plan","absent",,,"finals,record"
"exp_0030","finals_record","most disposalss in a final","plan","absent",,,"finals,single_final"
"exp_0032","career_leader","record holder for goals against Collingwood","plan","absent",,,"record_holder,opponent"
"exp_0035","career_leader","record holder for goals against Carlton","plan","absent",,,"record_holder,opponent"
"exp_0038","career_leader","record holder for goals against Essendon","plan","absent",,,"record_holder,opponent"
"exp_0041","career_leader","record holder for goals against Richmond","plan","absent",,,"record_holder,opponent"
"exp_0044","career_leader","record holder for goals against Geelong","plan","absent",,,"record_holder,opponent"
"exp_0047","career_leader","record holder for goals against Hawthorn","plan","absent",,,"record_holder,opponent"
"exp_0050","career_leader","record holder for goals against Sydney","plan","absent",,,"record_holder,opponent"
"exp_0053","career_leader","record holder for goals against West Coast","plan","absent",,,"record_holder,opponent"
"exp_0201","advanced_metric","most inside 50s in a season","plan","absent",,,"advanced,season"
"exp_0205","advanced_metric","most I50s in a season","plan","absent",,,"advanced,season"
"exp_0209","advanced_metric","most rebound 50s in a season","plan","absent",,,"advanced,season"
"exp_0213","advanced_metric","most R50s in a season","plan","absent",,,"advanced,season"
