id,category,question,expected_status,tags
exp_0001,grand_final_record,Grand Final record for goals,plan,"grand_final,record"
exp_0002,grand_final_record,Grand Final goals leader,plan,"grand_final,leader"
exp_0003,grand_final_record,most goalss in a Grand Final,plan,"grand_final,plural"
exp_0004,finals_record,finals record for goalss,plan,"finals,record"
exp_0005,finals_record,most goalss in a final,plan,"finals,single_final"
exp_0006,grand_final_record,Grand Final record for goal,plan,"grand_final,record"
exp_0007,grand_final_record,Grand Final goal leader,plan,"grand_final,leader"
exp_0008,grand_final_record,most goals in a Grand Final,plan,"grand_final,plural"
exp_0009,finals_record,finals record for goals,plan,"finals,record"
exp_0010,finals_record,most goals in a final,plan,"finals,single_final"
exp_0011,grand_final_record,Grand Final record for marks,plan,"grand_final,record"
exp_0012,grand_final_record,Grand Final marks leader,plan,"grand_final,leader"
exp_0013,grand_final_record,most markss in a Grand Final,plan,"grand_final,plural"
exp_0014,finals_record,finals record for markss,plan,"finals,record"
exp_0015,finals_record,most markss in a final,plan,"finals,single_final"
exp_0016,grand_final_record,Grand Final record for kicks,plan,"grand_final,record"
exp_0017,grand_final_record,Grand Final kicks leader,plan,"grand_final,leader"
exp_0018,grand_final_record,most kickss in a Grand Final,plan,"grand_final,plural"
exp_0019,finals_record,finals record for kickss,plan,"finals,record"
exp_0020,finals_record,most kickss in a final,plan,"finals,single_final"
exp_0021,grand_final_record,Grand Final record for handballs,plan,"grand_final,record"
exp_0022,grand_final_record,Grand Final handballs leader,plan,"grand_final,leader"
exp_0023,grand_final_record,most handballss in a Grand Final,plan,"grand_final,plural"
exp_0024,finals_record,finals record for handballss,plan,"finals,record"
exp_0025,finals_record,most handballss in a final,plan,"finals,single_final"
exp_0026,grand_final_record,Grand Final record for disposals,plan,"grand_final,record"
exp_0027,grand_final_record,Grand Final disposals leader,plan,"grand_final,leader"
exp_0028,grand_final_record,most disposalss in a Grand Final,plan,"grand_final,plural"
exp_0029,finals_record,finals record for disposalss,plan,"finals,record"
exp_0030,finals_record,most disposalss in a final,plan,"finals,single_final"
exp_0031,career_leader,career goal leader against Collingwood,plan,"leader,opponent"
exp_0032,career_leader,record holder for goals against Collingwood,plan,"record_holder,opponent"
exp_0033,career_leader,leading goal kicker against Collingwood,plan,"leading,opponent"
exp_0034,career_leader,career goal leader against Carlton,plan,"leader,opponent"
exp_0035,career_leader,record holder for goals against Carlton,plan,"record_holder,opponent"
exp_0036,career_leader,leading goal kicker against Carlton,plan,"leading,opponent"
exp_0037,career_leader,career goal leader against Essendon,plan,"leader,opponent"
exp_0038,career_leader,record holder for goals against Essendon,plan,"record_holder,opponent"
exp_0039,career_leader,leading goal kicker against Essendon,plan,"leading,opponent"
exp_0040,career_leader,career goal leader against Richmond,plan,"leader,opponent"
exp_0041,career_leader,record holder for goals against Richmond,plan,"record_holder,opponent"
exp_0042,career_leader,leading goal kicker against Richmond,plan,"leading,opponent"
exp_0043,career_leader,career goal leader against Geelong,plan,"leader,opponent"
exp_0044,career_leader,record holder for goals against Geelong,plan,"record_holder,opponent"
exp_0045,career_leader,leading goal kicker against Geelong,plan,"leading,opponent"
exp_0046,career_leader,career goal leader against Hawthorn,plan,"leader,opponent"
exp_0047,career_leader,record holder for goals against Hawthorn,plan,"record_holder,opponent"
exp_0048,career_leader,leading goal kicker against Hawthorn,plan,"leading,opponent"
exp_0049,career_leader,career goal leader against Sydney,plan,"leader,opponent"
